1719792000000,62772.01000000,63818.33000000,62573.32000000,63437.69000000,6859.32328000,1719806399999,434773755.33824160,340666,3618.41462000,229321518.49481460,0
1719806400000,63437.69000000,63466.92000000,63223.20000000,63277.84000000,1948.86897000,1719820799999,123474324.80541780,144312,829.11609000,52533549.97564430,0
1719820800000,63277.84000000,63314.99000000,62593.07000000,62662.09000000,3745.11478000,1719835199999,235550499.80059550,232527,1672.18766000,105150986.47587290,0
1719835200000,62662.09000000,63166.11000000,62497.20000000,63132.90000000,4514.70610000,1719849599999,283647598.42195630,315417,2398.30950000,150685570.22357640,0
1719849600000,63132.90000000,63861.76000000,62966.77000000,63226.78000000,5479.95754000,1719863999999,347426513.34980860,300969,2928.24527000,185646485.91155160,0
1719864000000,63226.78000000,63423.48000000,62804.60000000,62899.99000000,1999.13471000,1719878399999,126108121.95411470,127617,942.33340000,59447662.75409950,0
1719878400000,62900.00000000,63288.83000000,62787.42000000,63138.67000000,1678.91798000,1719892799999,105779358.97430560,148281,864.49409000,54471369.57841980,0
1719892800000,63138.68000000,63245.80000000,62580.00000000,62629.99000000,2518.53154000,1719907199999,158355563.89492850,150077,1164.51384000,73218727.56808640,0
1719907200000,62630.00000000,62866.20000000,62401.23000000,62832.01000000,4139.03014000,1719921599999,259351553.11196250,205669,2145.55498000,134448565.70186040,0
1719921600000,62832.01000000,63152.00000000,61823.74000000,61948.08000000,5966.58949000,1719935999999,372303804.01362150,375803,3014.01543000,188103677.75730880,0
1719936000000,61948.08000000,62368.81000000,61806.28000000,61939.10000000,2841.63377000,1719950399999,176393987.30376440,281033,1485.49447000,92193990.65364220,0
1719950400000,61939.10000000,62181.24000000,61875.55000000,62135.47000000,1428.41583000,1719964799999,88608065.31897710,147953,779.10650000,48326885.32066490,0
1719964800000,62135.46000000,62285.94000000,60600.00000000,60987.99000000,5145.57685000,1719979199999,316093826.18350220,339116,2190.06452000,134530494.85894400,0
1719979200000,60988.00000000,61181.84000000,60816.00000000,60870.01000000,2356.60300000,1719993599999,143699171.31989100,160480,1122.68733000,68458677.13536540,0
1719993600000,60870.01000000,60978.19000000,59600.00000000,60386.01000000,8846.07874000,1720007999999,534817670.11672690,426992,3981.98167000,240661630.36966630,0
1720008000000,60386.01000000,60740.20000000,59752.29000000,60186.25000000,7199.97498000,1720022399999,433823156.73391760,401897,3634.49671000,219011766.66585990,0
1720022400000,60186.25000000,60655.56000000,59666.00000000,59671.10000000,4933.93774000,1720036799999,297196175.99946180,293155,2293.34514000,138174225.52118710,0
1720036800000,59671.11000000,60374.82000000,59400.00000000,60208.58000000,3677.93996000,1720051199999,220271232.55315760,217732,1832.87955000,109794945.12282560,0
