,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,normal_return,30d_zscore_return,log_return,30d_zscore_logreturn,intraday,z_intraday_30,7d_rolling_mean,7d_rolling_volatility,30d_rolling_mean,30d_rolling_volatility,7d_zscore,30d_zscore,30d_zscore_volume,volume_change_%,30d_zscore_volume_change,7d_zscore_volume_change,ema200,above_ema200
0,2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811,2025-05-02 23:59:59.999999,1446387651.5840576,2698263,7440.33531,722022817.2246199,0.0,,,,,0.015953407232373595,,,,,,,,,,,,96887.14,False
1,2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838,2025-05-03 23:59:59.999999,935906144.9651498,1181239,3929.4049,378271292.4443145,0.0,-1.0638357164841517,,-0.01069534904680462,,0.012337827763649044,,,,,,,,,-34.767793550215856,,,96876.884079602,False
2,2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342,2025-05-04 23:59:59.999999,1053542403.8531588,1674726,4385.33486,418573470.8569623,0.0,-1.6470466975503584,,-0.016607613109211234,,0.02283786968741883,,,,,,,,,13.503939061782333,,,96851.02075542686,False
3,2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189,2025-05-05 23:59:59.999999,1626999380.1759968,2623300,8399.64855,792299650.3395202,0.0,0.48374152847727725,,0.004825752587870044,,0.01778564920100216,,,,,,,,,56.311911551909446,,,96829.95268820868,False
4,2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513,2025-05-06 23:59:59.999999,1526847764.5636685,2512960,7505.95734,711372483.6117135,0.0,2.2170995574119168,,0.021928792437757434,,0.036595093335999,,,,,,,,,-6.541793873579049,,,96829.99315897278,True
5,2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854,2025-05-07 23:59:59.999999,1611730124.5924544,2849139,8316.74471,805430612.4055353,0.0,0.20290389679165077,,0.0020269832486365163,,0.020069874936231386,,,,,,,,,3.238881745454636,,,96831.98825191833,True
6,2025-05-08,97030.5,104145.76,96876.29,103261.6,34962.02847,2025-05-08 23:59:59.999999,3508645830.5650144,4991147,18547.23009,1861334478.364427,0.0,6.421795208723036,,0.06224021212940302,,0.07039857991741365,,96982.99714285714,,,,2.1104862920095435,,,110.04726712116243,,,96895.96448821765,True
7,2025-05-09,103261.61,104361.3,102315.14,102971.99,27617.39907,2025-05-09 23:59:59.999999,2847518447.981513,4406929,14525.20381,1497826622.326188,0.0,-0.2804624371499198,,-0.002808564699583071,,0.019871034831899465,,97852.26142857142,2.7270744331578123,,,1.3709870514196227,,,-21.007446425204513,,-0.763139313727054,96956.42245350902,True
8,2025-05-10,102971.99,104984.57,102818.76,104809.53,15324.78611,2025-05-10 23:59:59.999999,1588386278.502415,2227845,8258.23478,856095289.5216646,0.0,1.7845046988020696,,0.017687693367897713,,0.020664246848545283,,99131.27714285713,2.593597016430945,,,1.287850031352327,,,-44.51039335327243,,-1.1626772853871155,97034.56282710595,True
9,2025-05-11,104809.53,104972.0,103345.06,104118.0,17987.12197,2025-05-11 23:59:59.999999,1873381777.2124257,3100176,9071.95578,944903285.107308,0.0,-0.6597968715249425,,-0.0066198315306769204,,0.015625924431894603,,100537.04571428572,2.427401697553616,,,0.8596347278774484,,,17.372744003668195,,0.01843039116823133,97105.0447890253,True
10,2025-05-12,104118.0,105819.45,100718.37,102791.32,31272.77792,2025-05-12 23:59:59.999999,3242348937.383069,5298407,16455.99797,1707457796.5881395,0.0,-1.274208110028996,,-0.012823957677924932,,0.04962559095456699,,101688.13714285714,2.6270954266252544,,,0.3320078970228734,,,73.86204403438535,,1.0076164894614312,97161.62464187083,True
11,2025-05-13,102791.32,104976.25,101429.7,104103.72,21253.42409,2025-05-13 23:59:59.999999,2197244118.1523666,3703531,10705.97845,1106609664.707795,0.0,1.2767615008738131,,0.012686796194268246,,0.034067466561233384,,102726.66571428571,2.5903038322801266,,,0.5269972570637914,,,-32.03857954554233,,-0.8259614317402542,97230.70021757361,True
12,2025-05-14,104103.72,104356.95,102602.05,103507.82,16452.9081,2025-05-14 23:59:59.999999,1704708279.3884108,3025221,8026.03333,831783471.654361,0.0,-0.5724099004339123,,-0.005740544445962826,,0.016954274565921627,,103651.99714285714,2.64933094275493,,,-0.1993804176994266,,,-22.58702395280722,,-0.5792861956052987,97293.15912088135,True
13,2025-05-15,103507.83,104192.7,101383.07,103763.71,17998.98604,2025-05-15 23:59:59.999999,1850183474.529204,4139477,8475.18036,871244345.564136,0.0,0.24721803627976158,,0.0024691295519930546,,0.027077192980088993,,103723.72714285715,1.103183009710835,,,0.05691046411962946,,,9.396988852080202,,0.3022498392947998,97357.54271171836,True
14,2025-05-16,103763.71,104550.33,103100.49,103463.9,15683.88024,2025-05-16 23:59:59.999999,1628832372.324148,3237442,7555.15801,784850382.1942747,0.0,-0.2889353127408567,,-0.0028935353660749547,,0.014013003569360874,,103794.0,1.1036419569931486,,,-0.5187711400124893,,,-12.862423443493043,,-0.28228405396173245,97418.30248573111,True
15,2025-05-17,103463.9,103709.86,102612.5,103126.65,11250.89622,2025-05-17 23:59:59.999999,1160418362.950618,2568597,5335.11525,550379728.7338501,0.0,-0.325959102643536,,-0.0032649150658740724,,0.010640896412324076,,103553.58857142857,0.8065426553407163,,,-0.8718406067575692,,,-28.264587284300756,,-0.776657751612974,97475.10196348504,True
16,2025-05-18,103126.65,106660.0,103105.09,106454.26,21599.98726,2025-05-18 23:59:59.999999,2262214972.0749383,3193300,11664.89904,1221914552.0552013,0.0,3.22672170578604,,0.03175756480007516,,0.03339377869894548,,103887.34,1.49974083961297,,,2.1250739511748673,,,91.98459249497904,,1.5810895775552096,97564.44681956977,True
17,2025-05-19,106454.27,107108.62,102000.0,105573.74,30260.03524,2025-05-19 23:59:59.999999,3150324504.595452,4881371,14208.309,1480452895.0841565,0.0,-0.8271345834351629,,-0.00830574322175089,,0.04838911646021061,,104284.82857142857,1.4279890924212266,,,1.0357724132116293,,,40.09283836957225,,0.7394633513754384,97644.14127907655,True
18,2025-05-20,105573.73,107320.0,104184.72,106849.99,23705.48275,2025-05-20 23:59:59.999999,2509102444.6695986,3878351,12350.46275,1307273652.3895233,0.0,1.2088706907607882,,0.012016222070838009,,0.02934281977939351,,104677.15285714285,1.4211839758041764,,,1.3853053915779578,,,-21.660756301221017,,-0.6734178063829933,97735.74176386186,True
