calc_time,last_funding_rate
2025-02-01 00:00:00+00:00,8.098e-05
2025-02-01 08:00:00+00:00,5.369e-05
2025-02-01 16:00:00+00:00,5.968e-05
2025-02-02 00:00:00.001000+00:00,5.824e-05
2025-02-02 08:00:00+00:00,3.38e-05
2025-02-02 16:00:00+00:00,-8.61e-06
2025-02-03 00:00:00+00:00,0.0001
2025-02-03 08:00:00+00:00,0.0001
2025-02-03 16:00:00+00:00,4.845e-05
2025-02-04 00:00:00+00:00,2.612e-05
2025-02-04 08:00:00.001000+00:00,6.8e-05
2025-02-04 16:00:00+00:00,4.138e-05
2025-02-05 00:00:00.001000+00:00,-4.61e-06
2025-02-05 08:00:00.001000+00:00,4.774e-05
2025-02-05 16:00:00+00:00,1.61e-05
2025-02-06 00:00:00.001000+00:00,2.186e-05
2025-02-06 08:00:00.001000+00:00,-2.38e-06
2025-02-06 16:00:00+00:00,5.903e-05
2025-02-07 00:00:00+00:00,7.983e-05
2025-02-07 08:00:00+00:00,6.989e-05
2025-02-07 16:00:00+00:00,5.167e-05
2025-02-08 00:00:00+00:00,-4.1e-05
2025-02-08 08:00:00+00:00,1.137e-05
2025-02-08 16:00:00+00:00,3.24e-06
2025-02-09 00:00:00+00:00,3.873e-05
2025-02-09 08:00:00+00:00,9.6e-05
2025-02-09 16:00:00+00:00,2.839e-05
2025-02-10 00:00:00+00:00,1.802e-05
2025-02-10 08:00:00+00:00,9.176e-05
2025-02-10 16:00:00+00:00,7.457e-05
2025-02-11 00:00:00+00:00,4.218e-05
2025-02-11 08:00:00+00:00,7.09e-05
2025-02-11 16:00:00+00:00,-2.446e-05
2025-02-12 00:00:00+00:00,1.298e-05
2025-02-12 08:00:00+00:00,4.899e-05
2025-02-12 16:00:00.001000+00:00,4.96e-05
2025-02-13 00:00:00.001000+00:00,0.0001
2025-02-13 08:00:00+00:00,4.117e-05
2025-02-13 16:00:00.001000+00:00,8.05e-06
2025-02-14 00:00:00+00:00,4.1e-05
2025-02-14 08:00:00.001000+00:00,5.51e-05
2025-02-14 16:00:00+00:00,7.093e-05
2025-02-15 00:00:00+00:00,5.5e-07
2025-02-15 08:00:00+00:00,3.297e-05
2025-02-15 16:00:00+00:00,3.735e-05
2025-02-16 00:00:00+00:00,3.39e-05
2025-02-16 08:00:00+00:00,1.82e-06
2025-02-16 16:00:00+00:00,3.799e-05
2025-02-17 00:00:00+00:00,6.239e-05
2025-02-17 08:00:00+00:00,6.397e-05
2025-02-17 16:00:00+00:00,2.009e-05
2025-02-18 00:00:00+00:00,9.488e-05
2025-02-18 08:00:00+00:00,0.0001
2025-02-18 16:00:00+00:00,0.0001
2025-02-19 00:00:00+00:00,7.007e-05
2025-02-19 08:00:00+00:00,7.779e-05
2025-02-19 16:00:00+00:00,8.96e-05
2025-02-20 00:00:00+00:00,2.42e-05
2025-02-20 08:00:00+00:00,3.269e-05
2025-02-20 16:00:00+00:00,7.346e-05
2025-02-21 00:00:00.001000+00:00,1.23e-06
2025-02-21 08:00:00+00:00,2.286e-05
2025-02-21 16:00:00+00:00,-9.7e-07
2025-02-22 00:00:00+00:00,0.0001
2025-02-22 08:00:00+00:00,6.466e-05
2025-02-22 16:00:00+00:00,2.318e-05
2025-02-23 00:00:00+00:00,4.112e-05
2025-02-23 08:00:00+00:00,3.14e-05
2025-02-23 16:00:00+00:00,1.478e-05
2025-02-24 00:00:00+00:00,-2.97e-05
2025-02-24 08:00:00+00:00,6.881e-05
2025-02-24 16:00:00+00:00,2.05e-05
2025-02-25 00:00:00+00:00,0.0001
2025-02-25 08:00:00+00:00,5.245e-05
2025-02-25 16:00:00+00:00,1.385e-05
2025-02-26 00:00:00+00:00,3.521e-05
2025-02-26 08:00:00+00:00,6.005e-05
2025-02-26 16:00:00+00:00,0.0001
2025-02-27 00:00:00.001000+00:00,9.305e-05
2025-02-27 08:00:00+00:00,-6.17e-06
2025-02-27 16:00:00+00:00,9.433e-05
2025-02-28 00:00:00.001000+00:00,9.444e-05
2025-02-28 08:00:00+00:00,9.521e-05
2025-02-28 16:00:00+00:00,-3.73e-06
