open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,94125.20,94978.10,94086.70,94737.50,19363.191,1746071999999,1833098484.44020,283014,10563.210,1000185608.23190,0
1746072000000,94737.60,95146.20,94660.20,94978.60,16342.808,1746086399999,1551514677.35010,243445,8526.100,809512849.90050,0
1746086400000,94978.60,96351.80,94866.60,96129.90,41762.093,1746100799999,4000481515.35990,600583,23035.707,2206235780.54110,0
1746100800000,96130.00,97388.00,95742.10,96793.90,62733.290,1746115199999,6054947620.09810,952828,32009.115,3089876832.20650,0
1746115200000,96793.90,97300.00,96344.40,96459.10,28899.433,1746129599999,2796783695.14340,462351,14693.423,1422083065.59180,0
1746129600000,96459.50,96834.40,96122.40,96423.30,15425.940,1746143999999,1487668709.72990,283147,7697.865,742378541.08620,0
1746144000000,96423.20,97193.70,96400.00,97054.90,17200.018,1746158399999,1666403299.95910,329416,9011.213,873037501.94440,0
1746158400000,97055.00,97262.00,96283.10,96302.00,19341.642,1746172799999,1869266355.03610,307796,8179.636,790658305.27220,0
1746172800000,96302.00,97072.20,96300.00,96875.70,14786.274,1746187199999,1429895808.11260,257905,7846.745,758844677.15320,0
1746187200000,96875.70,97865.40,96585.10,97270.10,54228.730,1746201599999,5270795182.24120,747557,26559.521,2582133323.35880,0
1746201600000,97270.10,97740.00,96700.00,96856.80,23304.485,1746215999999,2266787515.33990,409640,11747.314,1142763757.63610,0
1746216000000,96856.80,97083.40,96507.60,96831.20,10336.377,1746230399999,1000019732.86340,187933,5389.973,521450773.48590,0
1746230400000,96831.20,96868.40,96255.00,96292.10,12788.794,1746244799999,1234187365.65360,213964,6111.999,589915221.08280,0
1746244800000,96292.10,96557.70,96064.10,96290.80,10809.148,1746259199999,1040956098.17010,193385,5621.007,541360146.43730,0
1746259200000,96290.80,96377.80,95804.80,95895.60,15912.985,1746273599999,1528391548.49780,246634,7329.177,704051751.61550,0
1746273600000,95895.70,96456.00,95834.40,96358.70,11574.759,1746287999999,1113579960.41790,198205,5872.605,564951464.39910,0
1746288000000,96358.70,96370.00,95812.70,96312.00,10135.037,1746302399999,973989618.10220,195442,4926.958,473510084.87430,0
1746302400000,96312.00,96399.90,95700.00,95803.30,10199.906,1746316799999,980278304.68950,159494,4498.832,432475532.42270,0
1746316800000,95803.30,96266.60,95508.70,95680.00,14654.377,1746331199999,1404558865.89130,286812,7588.635,727469918.31330,0
1746331200000,95680.00,96109.60,95634.00,95842.10,9794.382,1746345599999,939178413.42300,187513,5423.181,520052362.05220,0
1746345600000,95842.10,95886.50,95227.20,95376.00,17133.692,1746359999999,1635985721.92870,279893,7842.830,748831110.59260,0
1746360000000,95376.00,95649.00,95172.40,95421.10,13352.424,1746374399999,1274288977.32310,215220,7041.081,672032030.52950,0
1746374400000,95421.10,95590.00,95200.10,95533.90,9415.553,1746388799999,898056399.74720,156908,4884.649,465917049.36970,0
1746388800000,95534.00,95700.00,94116.40,94230.20,29910.449,1746403199999,2835943112.69770,423834,13279.144,1259229511.60140,0
1746403200000,94230.20,94750.10,93445.10,94001.10,35169.994,1746417599999,3309661387.39890,528030,16666.644,1568479938.89630,0
1746417600000,94001.20,94778.50,93980.00,94696.40,18884.983,1746431999999,1784337522.79210,272539,9320.643,880612412.59080,0
1746432000000,94696.40,94726.80,93835.00,93986.00,18035.166,1746446399999,1699728284.69590,274155,8951.419,843505584.45080,0
1746446400000,93986.10,94501.00,93559.60,93726.00,37424.134,1746460799999,3517180366.26390,569151,19027.856,1788397013.38260,0
1746460800000,93726.00,94871.80,93705.30,94295.50,24018.270,1746475199999,2267710185.01090,376910,12828.720,1211190371.08420,0
1746475200000,94295.20,95165.10,93814.20,94696.70,21369.828,1746489599999,2022235135.49510,343364,11824.341,1119068384.58270,0
1746489600000,94696.70,94893.30,93961.00,94418.30,16000.398,1746503999999,1510457684.91910,298320,7815.312,737714248.60970,0
1746504000000,94418.40,94600.00,94267.00,94350.00,8862.333,1746518399999,836714825.40720,171851,4600.044,434312639.29170,0
1746518400000,94350.00,94354.60,93662.20,93770.30,23699.819,1746532799999,2228107349.17360,318920,10517.615,988817338.08310,0
1746532800000,93770.30,94697.20,93327.00,94513.20,48631.997,1746547199999,4574602960.97110,658481,24472.328,2302253308.63170,0
1746547200000,94513.20,95119.90,94145.40,94910.80,27227.515,1746561599999,2577968078.85820,426969,13392.275,1268111880.80560,0
1746561600000,94910.80,96879.50,94400.00,96798.90,49261.004,1746575999999,4716164399.62860,682297,26436.543,2531914887.27880,0
1746576000000,96798.90,97700.00,96153.20,96453.80,49252.243,1746590399999,4774065886.95000,687987,25639.461,2485758092.68900,0
1746590400000,96453.80,96963.00,96268.00,96940.00,15114.534,1746604799999,1459483890.96290,241319,7888.797,761762853.03970,0
1746604800000,96940.00,97077.60,96783.00,97000.00,14368.674,1746619199999,1392876455.93540,214843,7012.378,679794162.51770,0
1746619200000,97000.00,97446.80,96655.20,96889.00,34956.983,1746633599999,3391105989.12010,501189,16630.779,1613268797.66280,0
1746633600000,96889.00,96916.50,95718.50,96124.60,48429.239,1746647999999,4667116835.01920,746850,23411.221,2256250754.20480,0
1746648000000,96124.50,97363.80,96015.10,96988.40,23145.469,1746662399999,2242775721.70130,347100,11857.028,1149248759.75590,0
1746662400000,96988.40,99199.90,96831.50,99097.90,60617.723,1746676799999,5952329715.83640,853862,33802.490,3319187092.44710,0
1746676800000,99098.00,99374.30,98680.10,99212.00,32945.558,1746691199999,3263364218.68050,465220,16322.236,1616643196.89150,0
1746691200000,99212.10,99863.30,99165.20,99369.80,31717.498,1746705599999,3158263789.94040,409400,15499.614,1543493566.24000,0
1746705600000,99369.90,101493.20,99050.10,100730.80,83079.999,1746719999999,8319909153.70340,1023790,43087.082,4315198080.00200,0
1746720000000,100730.90,101686.70,100550.00,101254.20,44847.125,1746734399999,4534822557.04190,674804,22622.673,2287974256.04250,0
1746734400000,101254.30,104305.30,101231.70,103228.10,64214.566,1746748799999,6595120935.35870,1018914,35720.394,3668142668.33730,0
1746748800000,103228.00,103228.10,102327.90,102419.50,24344.001,1746763199999,2501253559.84810,473768,11747.452,1207117522.22930,0
1746763200000,102419.50,104373.00,102345.70,103597.40,31095.632,1746777599999,3213792146.29050,516082,16381.641,1693197219.77040,0
1746777600000,103597.40,103920.00,102376.50,102914.50,46422.104,1746791999999,4783374677.93700,824307,22321.671,2300322387.58520,0
1746792000000,102914.50,103746.80,102358.00,102852.90,38682.860,1746806399999,3985976915.22610,745155,18648.749,1921733161.19560,0
1746806400000,102853.00,103336.10,102240.00,103145.50,23424.037,1746820799999,2408976945.18540,432622,11670.022,1200306931.84570,0
1746820800000,103145.50,103366.00,102700.00,102941.90,8915.288,1746835199999,918196085.23500,188847,4193.980,431873477.49370,0
1746835200000,102941.90,103232.00,102784.00,103179.40,9036.731,1746849599999,930706427.25050,201357,4353.507,448410952.77660,0
1746849600000,103179.30,104085.00,102997.30,103721.70,18134.111,1746863999999,1878072870.45280,338250,9746.173,1009473178.33080,0
1746864000000,103721.70,104066.20,103311.00,103374.60,18529.911,1746878399999,1920095927.45960,382250,7638.274,791695954.23220,0
1746878400000,103374.70,103781.10,103038.70,103102.60,13607.261,1746892799999,1407696380.15770,252474,6728.919,696191430.48150,0
1746892800000,103102.60,103589.00,102940.00,103148.60,14747.802,1746907199999,1522763399.72820,293524,7544.604,779107888.05060,0
1746907200000,103148.70,105000.10,103016.20,104788.80,30328.721,1746921599999,3161036029.81390,511498,17264.638,1799271890.96150,0
1746921600000,104788.80,104950.00,103406.30,103947.80,27276.827,1746935999999,2840945350.55150,563566,11941.805,1243783864.45270,0
1746936000000,103947.80,104363.90,103283.30,103327.90,18978.685,1746950399999,1969459869.71280,343670,8935.621,927319593.91990,0
1746950400000,103327.80,104750.00,103321.00,104613.70,24045.282,1746964799999,2505345044.63020,376181,12848.729,1338616863.96290,0
1746964800000,104613.70,104873.50,103726.60,104083.00,30912.963,1746979199999,3222988618.98100,525883,14740.780,1537060352.55090,0
1746979200000,104082.90,104800.00,103691.90,104373.80,20721.626,1746993599999,2158974595.97290,397454,10055.324,1047832845.88670,0
1746993600000,104373.80,104526.30,103502.40,104072.70,17201.038,1747007999999,1788609182.57970,345951,8593.379,893665252.36330,0
1747008000000,104072.70,105190.40,103664.80,104064.00,30422.810,1747022399999,3173243914.71580,556773,15106.132,1576044638.79350,0
