open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733011200000,96475.20,96746.30,95736.50,96404.00,26132.180,1733025599999,2515420303.13080,434616,13053.808,1256897091.56530,0
1733025600000,96404.00,96585.00,96249.10,96525.40,9153.515,1733039999999,882834895.34400,164638,3952.183,381219492.84950,0
1733040000000,96525.40,97250.00,96480.00,97163.70,21533.374,1733054399999,2088201818.73170,351600,11047.043,1071353194.03630,0
1733054400000,97163.70,97481.30,96705.30,97081.40,20941.010,1733068799999,2034606595.80530,336028,10259.474,996940310.76590,0
1733068800000,97081.50,97632.80,97029.50,97242.00,15616.016,1733083199999,1519524498.17420,248181,8124.772,790660600.66140,0
1733083200000,97242.10,97933.00,96852.70,97265.10,19846.895,1733097599999,1934555793.66990,337280,9939.304,968953186.06850,0
1733097600000,97265.00,98266.00,96402.50,96549.80,29835.063,1733111999999,2908825614.22790,537412,13757.078,1341774211.84330,0
1733112000000,96549.90,97000.00,95788.40,96053.60,39372.545,1733126399999,3794416219.37250,595019,18581.955,1791279785.76600,0
1733126400000,96053.50,96177.90,94887.00,95191.30,43471.871,1733140799999,4141753175.48700,725321,21751.539,2072287034.56050,0
1733140800000,95191.40,97286.20,94826.00,97106.50,60495.623,1733155199999,5816172375.63540,978063,30675.851,2950174627.36990,0
1733155200000,97106.60,97435.00,94400.00,95873.90,63080.969,1733169599999,6049197070.48560,1004122,29773.780,2854673178.12950,0
1733169600000,95873.90,96389.90,95171.50,95890.50,21357.840,1733183999999,2044759426.69950,394107,10624.644,1017292809.64700,0
1733184000000,95890.60,96375.00,95463.60,96136.80,18629.132,1733198399999,1787357831.73710,365175,9628.858,923853532.11530,0
1733198400000,96136.80,96324.90,95336.30,95608.80,17487.710,1733212799999,1676041633.84700,327199,8410.482,806004714.75260,0
1733212800000,95608.80,95739.80,94661.30,95045.80,25645.596,1733227199999,2439647474.62920,411626,12418.748,1181460196.21390,0
1733227200000,95045.90,96315.50,93605.00,95743.70,85647.457,1733241599999,8124910035.58860,1347587,41693.251,3956332215.24280,0
1733241600000,95744.70,96236.30,94925.80,95512.70,38288.732,1733255999999,3656266365.47610,635884,19708.124,1881971695.07160,0
1733256000000,95512.60,96200.00,95337.20,95913.30,20903.353,1733270399999,2004081889.06710,356998,10042.589,962995086.47620,0
1733270400000,95913.30,96740.00,95271.60,95852.00,27822.359,1733284799999,2669156904.55870,492432,13805.509,1324491357.72260,0
1733284800000,95852.10,96799.90,95783.50,96652.10,18405.832,1733299199999,1774623079.34930,301550,8947.025,862644417.07420,0
1733299200000,96652.20,97041.10,96239.70,96270.00,20925.907,1733313599999,2023444367.29060,325805,9512.476,919909175.61800,0
1733313600000,96270.10,96634.60,95398.10,95813.00,54479.082,1733327999999,5228432013.43820,866812,27372.827,2627384239.12350,0
1733328000000,95813.00,97310.30,94650.80,97283.40,67941.454,1733342399999,6502456270.76260,1066884,34772.794,3329284460.37410,0
1733342400000,97283.40,99099.90,97189.30,98669.80,86374.571,1733356799999,8500439744.22460,1125666,44298.412,4359360627.15540,0
1733356800000,98669.80,104630.40,97970.50,103084.80,155798.412,1733371199999,15766652473.10300,2466132,84560.348,8555551932.77870,0
1733371200000,103084.70,103696.70,101359.80,102292.10,69178.653,1733385599999,7092156430.41700,1214109,33430.937,3426811504.76520,0
1733385600000,102292.10,103228.90,102290.30,102668.20,31253.697,1733399999999,3210480264.64950,643124,15861.476,1629503850.28270,0
1733400000000,102668.20,103661.70,100932.60,101350.10,82540.521,1733414399999,8466963630.55280,1355232,39210.527,4023585926.06080,0
1733414400000,101350.10,102063.80,98704.60,99111.60,78445.371,1733428799999,7900349636.30900,1332401,36877.648,3715699783.74700,0
1733428800000,99111.50,99542.90,90200.00,97001.50,163060.737,1733443199999,15754277498.19170,2631122,77864.386,7526570633.41150,0
1733443200000,97001.60,98858.60,96429.50,97802.70,54871.518,1733457599999,5355377888.19440,1006647,27099.818,2645053518.50010,0
1733457600000,97802.70,98356.60,97422.80,98209.60,23490.730,1733471999999,2301798627.97360,451030,10994.804,1077448192.63370,0
1733472000000,98209.70,98765.40,97705.20,98127.40,34097.618,1733486399999,3349295475.46160,589841,16009.139,1572750205.84030,0
1733486400000,98127.40,99592.10,97550.00,99358.50,67051.277,1733500799999,6622931601.75620,1133799,32966.611,3256773562.62030,0
1733500800000,99358.50,101900.00,98800.00,101532.60,67789.279,1733515199999,6821799335.26820,1068665,35383.534,3560047934.10550,0
1733515200000,101532.60,101988.80,99111.00,99802.50,35069.186,1733529599999,3531956221.88420,627084,16148.520,1626438688.37650,0
1733529600000,99802.50,100499.00,99361.00,99383.00,19615.533,1733543999999,1961432790.36740,415237,9358.057,935777062.60820,0
1733544000000,99383.00,99741.00,98876.90,99442.60,21001.060,1733558399999,2086157291.78830,383338,9712.374,964933145.30220,0
1733558400000,99442.60,99895.30,99314.80,99660.40,12084.542,1733572799999,1203817647.76570,252694,6049.087,602620077.50000,0
1733572800000,99660.30,99890.00,99101.70,99811.40,15668.723,1733587199999,1559611730.58470,311522,8296.505,825909788.73750,0
