open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,67577.90,67800.70,67480.00,67749.90,11203.855,1717214399999,758067469.21640,172631,5224.351,353515444.49610,0
1717214400000,67750.00,67857.50,67608.60,67677.90,8158.758,1717228799999,552542253.77230,138631,4171.748,282547951.67950,0
1717228800000,67677.80,67800.00,67649.80,67704.00,6444.213,1717243199999,436440626.94200,115156,3260.142,220810560.07770,0
1717243200000,67704.00,67936.00,67681.40,67728.20,9973.997,1717257599999,676406774.19150,160261,5316.028,360536705.93840,0
1717257600000,67728.20,67867.30,67590.00,67779.70,9329.853,1717271999999,631726706.29560,158891,4412.373,298794341.95130,0
1717272000000,67779.70,67921.30,67729.60,67799.20,5832.382,1717286399999,395496414.10810,105898,2607.741,176843795.96570,0
1717286400000,67799.20,67951.70,67661.90,67826.10,7225.374,1717300799999,489996079.65420,132264,3512.488,238223777.90220,0
1717300800000,67826.00,67910.00,67738.00,67743.00,4961.302,1717315199999,336452100.60650,103205,2238.122,151789007.32420,0
1717315200000,67743.00,68367.90,67410.00,68284.10,23005.400,1717329599999,1560527667.01680,309913,13006.373,882364640.46160,0
1717329600000,68284.00,68545.90,67824.10,68189.80,30389.939,1717343999999,2072106919.48920,413436,15753.528,1074274845.46760,0
1717344000000,68189.80,68252.00,67296.30,67765.30,27950.080,1717358399999,1893496716.54710,372112,12752.617,863941163.71750,0
1717358400000,67765.40,68038.70,67606.40,67805.90,8662.623,1717372799999,587843702.54610,164358,4318.808,293098951.54710,0
1717372800000,67805.90,68848.00,67642.60,68435.90,31790.130,1717387199999,2173656668.20060,456339,16576.792,1133472734.08540,0
1717387200000,68435.90,69255.00,68333.30,68949.90,35589.902,1717401599999,2453138856.20610,433875,18971.617,1307802695.94240,0
1717401600000,68950.00,69385.00,68872.10,69125.50,23842.964,1717415999999,1648725794.43090,333783,12087.174,835920977.36810,0
1717416000000,69125.50,70372.90,68554.70,69650.00,89848.981,1717430399999,6243271823.41260,1044750,46080.693,3202261468.31970,0
1717430400000,69650.00,69752.00,68838.00,69257.20,29783.920,1717444799999,2063088743.45950,400837,14872.762,1030184060.37310,0
1717444800000,69257.20,69553.80,68764.00,68851.40,16821.033,1717459199999,1162653184.58370,264533,8205.666,567187097.82340,0
1717459200000,68851.30,69408.20,68659.00,69199.10,16706.647,1717473599999,1154255766.70460,268402,8315.691,574578407.31630,0
1717473600000,69199.10,69318.40,68787.20,69054.70,18637.534,1717487999999,1286782001.87160,247222,9016.652,622539780.89720,0
1717488000000,69054.60,69246.70,68595.50,68992.80,23575.146,1717502399999,1623992546.77390,315785,11568.684,797010834.38540,0
1717502400000,68992.80,70560.30,68882.40,70492.00,78555.551,1717516799999,5481030225.69810,932002,40763.607,2844702262.85590,0
1717516800000,70492.10,71146.40,70117.80,70459.00,62356.225,1717531199999,4409235636.06520,747397,31577.878,2233069778.78500,0
1717531200000,70459.10,70776.30,70207.20,70580.00,16268.913,1717545599999,1147327672.27580,241411,8519.203,600745312.23110,0
1717545600000,70580.00,71389.80,70462.80,70994.00,32305.489,1717559999999,2291867723.20440,438091,16375.946,1161851776.97150,0
1717560000000,70994.00,71430.00,70872.40,71244.10,29151.109,1717574399999,2073565012.13590,370260,14309.782,1017942197.10440,0
