open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1748736000000,104544.60,104599.60,103860.90,104336.40,14341.262,1748750399999,1494574423.21660,304254,7393.677,770555576.29710,0
1748750400000,104336.40,104700.00,104138.00,104231.00,9469.678,1748764799999,988693150.03320,202506,4674.207,488004046.77180,0
1748764800000,104230.90,104410.50,103704.10,104038.00,15555.538,1748779199999,1617474940.66970,318122,7830.878,814338190.64230,0
1748779200000,104038.00,104760.00,103708.60,104664.00,16896.822,1748793599999,1763524927.52760,345663,8306.908,866953680.68990,0
1748793600000,104663.90,105285.00,104280.10,105075.20,24033.126,1748807999999,2521074043.78990,445618,12154.681,1275119487.26960,0
1748808000000,105075.20,105823.60,104833.10,105583.30,17123.814,1748822399999,1804393208.03950,343786,8420.127,887338119.93310,0
1748822400000,105583.30,105700.00,104520.00,104781.80,17614.141,1748836799999,1851799777.57640,375517,8198.170,861902133.17690,0
1748836800000,104781.80,105398.50,104549.80,105346.40,15376.453,1748851199999,1614097051.56610,303406,7701.878,808574901.64500,0
1748851200000,105346.40,105900.00,103867.80,104000.00,39491.959,1748865599999,4137952375.79340,656632,18873.183,1977555778.96080,0
1748865600000,104000.10,104646.10,103600.60,104396.80,42551.179,1748879999999,4430377424.70790,783618,21840.375,2274315514.76100,0
1748880000000,104396.90,104699.40,103982.90,104366.40,15855.761,1748894399999,1653474357.17240,386081,7820.324,815556869.43760,0
1748894400000,104366.50,105893.80,104366.50,105814.30,27363.425,1748908799999,2881073046.75830,489549,13806.754,1453596873.51090,0
1748908800000,105814.40,106470.80,105280.00,105448.80,29321.060,1748923199999,3106506054.47710,547063,14330.937,1518296666.96660,0
1748923200000,105448.80,105475.40,105062.50,105134.40,12956.522,1748937599999,1363841873.44500,249888,6638.888,698856543.05010,0
1748937600000,105134.40,105305.20,104822.40,105240.10,12289.458,1748951999999,1291619143.79140,235405,6366.031,669099896.13490,0
1748952000000,105240.10,106775.00,104969.40,106556.10,42236.633,1748966399999,4477072333.56460,748259,21321.940,2260014678.52400,0
