open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743465600000,82517.50,83213.00,82383.30,82929.90,15244.220,1743479999999,1261911400.53860,338675,7262.915,601272017.69990,0
1743480000000,82930.00,83565.00,82846.10,83415.20,15232.027,1743494399999,1267532310.62710,283322,7634.571,635291094.20980,0
1743494400000,83415.20,84474.80,83401.00,83879.90,35987.638,1743508799999,3025919132.04980,546571,17991.251,1512433502.58840,0
1743508800000,83880.00,85475.00,82505.00,85245.40,81146.631,1743523199999,6813331095.30140,1190784,41350.675,3472358925.79850,0
1743523200000,85245.50,85452.50,84666.30,84911.70,31993.203,1743537599999,2720191352.05260,543225,16051.188,1364853967.53100,0
1743537600000,84911.60,85595.50,84715.70,85120.90,17659.457,1743551999999,1503945093.22410,302407,9694.419,825639233.37730,0
1743552000000,85121.00,85217.90,84479.20,84509.50,19256.193,1743566399999,1633687752.57860,367709,8972.403,761285498.20230,0
1743566400000,84509.50,84695.00,83846.00,84389.80,24222.399,1743580799999,2040246021.32270,383144,11969.799,1008349196.57570,0
1743580800000,84389.70,85425.00,84220.00,84528.40,30044.064,1743595199999,2549837656.81100,457568,15043.434,1276845811.36520,0
1743595200000,84528.30,87288.00,84424.10,86709.50,101403.902,1743609599999,8715428051.70970,1509258,51739.172,4446678628.86320,0
1743609600000,86709.50,87255.00,86142.00,86854.20,42796.162,1743623999999,3710228868.77790,859892,21915.841,1900028714.29920,0
1743624000000,86854.20,88500.00,82300.00,82485.10,131241.658,1743638399999,11183324340.97050,2122953,65409.267,5570335387.83180,0
1743638400000,82485.10,83889.20,82137.30,83449.00,43538.786,1743652799999,3623559087.39850,706086,21475.085,1787303443.92860,0
1743652800000,83449.20,83707.90,82962.10,83423.70,18012.198,1743667199999,1500539543.80250,377045,9134.970,761030261.73420,0
1743667200000,83423.70,83774.10,83008.40,83058.10,25845.247,1743681599999,2156232432.60610,447293,13229.799,1103745634.71190,0
1743681600000,83058.00,83112.00,81172.20,82001.80,92135.552,1743695999999,7560977587.27370,1428632,45520.609,3735155331.47720,0
1743696000000,82001.70,82463.70,81504.80,81977.40,35332.973,1743710399999,2896951707.97450,703158,18021.818,1477912140.45330,0
1743710400000,81977.40,83298.00,81754.90,83181.50,24298.763,1743724799999,2007347259.60080,404295,13676.729,1130540294.58320,0
1743724800000,83181.70,83376.00,82553.80,82787.90,23066.562,1743739199999,1914000888.72350,421887,9728.076,807342597.55880,0
1743739200000,82787.90,83987.00,82569.90,83968.20,24342.362,1743753599999,2027985765.12120,393701,13063.780,1088622464.97260,0
1743753600000,83968.10,84686.20,81624.60,82633.70,90960.907,1743767999999,7573578219.94690,1308666,44269.637,3684355171.03830,0
1743768000000,82633.70,83682.90,81796.60,82822.00,128058.822,1743782399999,10605463177.00240,1897600,64829.436,5369281586.45030,0
1743782400000,82821.90,84580.00,82700.00,83971.90,67073.197,1743796799999,5616555834.18410,1149199,33660.016,2817528206.91830,0
1743796800000,83969.30,84422.90,83449.70,83861.30,19607.356,1743811199999,1646262017.28990,324080,9641.307,809622147.22400,0
1743811200000,83861.40,84244.50,83323.70,83585.70,17023.772,1743825599999,1427093416.59310,281100,8023.140,672839248.21150,0
1743825600000,83585.60,83832.10,83300.50,83490.00,10620.814,1743839999999,887463698.89750,188920,5428.238,453632014.15550,0
1743840000000,83490.00,83866.30,83326.20,83428.40,11518.556,1743854399999,962928309.41310,204189,5457.841,456346141.74380,0
1743854400000,83428.30,83516.80,82333.80,82576.40,33111.923,1743868799999,2742962761.02400,510410,14702.978,1217890225.81830,0
1743868800000,82576.50,83108.80,82561.80,82818.70,12394.700,1743883199999,1026746404.70450,225188,6553.781,542950050.71280,0
1743883200000,82818.70,83674.90,82781.50,83506.10,14904.439,1743897599999,1240156964.82140,263224,8998.834,749032700.18860,0
1743897600000,83506.10,83790.50,83100.00,83301.70,13707.665,1743911999999,1143520075.62480,232347,5958.554,497167748.26150,0
1743912000000,83301.70,83496.90,82980.00,82990.90,10928.376,1743926399999,909468886.16920,186585,5220.445,434509654.34730,0
1743926400000,82990.90,83143.90,82625.00,82810.10,16830.905,1743940799999,1394338372.00860,271477,8889.769,736526977.01910,0
1743940800000,82810.10,82944.00,82155.40,82497.40,29601.982,1743955199999,2443254534.15200,462435,14187.605,1171157964.74370,0
1743955200000,82497.40,82524.90,78635.00,79572.60,108788.065,1743969599999,8737271193.68930,1577613,50512.504,4055635317.33230,0
1743969600000,79572.60,79858.70,77111.00,78390.00,101334.760,1743983999999,7955078380.14710,1728201,51084.646,4011304182.82800,0
1743984000000,78390.10,79311.50,77311.00,77669.60,69452.679,1743998399999,5435303925.40260,1242611,35104.865,2747243877.33130,0
1743998400000,77669.50,77950.00,74457.00,75084.10,120677.337,1744012799999,9164574963.23440,1955626,57660.479,4379894540.86040,0
1744012800000,75084.10,77550.60,75051.70,76655.90,91159.234,1744027199999,6973955553.94450,1402335,45099.195,3450325663.22510,0
1744027200000,76656.00,81200.00,75761.50,78444.60,284460.151,1744041599999,22287968503.79910,3829163,142666.243,11179577606.11310,0
1744041600000,78444.60,79347.10,77262.60,78086.30,91535.930,1744055999999,7175970039.18850,1486255,46609.685,3654687490.54830,0
1744056000000,78093.70,80184.70,78060.00,79140.00,36558.172,1744070399999,2899327483.47990,605248,18923.438,1500239132.73380,0
1744070400000,79140.10,80832.10,78726.50,79869.20,44433.570,1744084799999,3552339870.86230,776430,22575.042,1805001906.91310,0
1744084800000,79869.30,80383.40,79177.00,79448.60,25868.771,1744099199999,2060727626.50280,502337,12434.347,990593818.21420,0
