open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2025-08-01 00:00:00,115697.3,116000.0,114239.0,115595.7,42604.847,2025-08-01 03:59:59.999,4908711570.0313,883811,20145.998,2321764248.7047
2025-08-01 04:00:00,115595.6,115873.4,114579.5,115015.1,21214.534,2025-08-01 07:59:59.999,2442910855.8211,487632,10066.861,1159103226.696
2025-08-01 08:00:00,115015.1,115291.1,114055.6,115246.6,26589.382,2025-08-01 11:59:59.999,3051479240.9784,578750,13404.191,1538552497.8594
2025-08-01 12:00:00,115246.5,115956.0,113871.1,115305.3,54800.767,2025-08-01 15:59:59.999,6310135880.6145,1107777,27106.158,3121777203.1379
2025-08-01 16:00:00,115305.3,115656.8,113173.7,113278.5,46088.416,2025-08-01 19:59:59.999,5263580836.7008,937296,21000.588,2398837053.946
2025-08-01 20:00:00,113278.4,114039.0,112660.0,113244.8,29984.153,2025-08-01 23:59:59.999,3398061339.6275,676424,14693.03,1665664503.7989
2025-08-02 00:00:00,113244.8,113873.7,113145.0,113859.9,11027.075,2025-08-02 03:59:59.999,1252521524.8554,297713,5768.848,655257641.1536
2025-08-02 04:00:00,113860.0,114000.0,113415.8,113919.9,11938.326,2025-08-02 07:59:59.999,1358374604.3376,265122,5246.152,596884168.4911
2025-08-02 08:00:00,113920.0,113988.0,113370.0,113732.5,10218.835,2025-08-02 11:59:59.999,1161303291.4199,233222,4580.703,520609911.465
2025-08-02 12:00:00,113732.6,113740.5,112769.2,112798.6,18494.393,2025-08-02 15:59:59.999,2093208279.795,358947,7646.858,865635363.8304
2025-08-02 16:00:00,112798.6,113388.9,111910.0,112175.5,36337.074,2025-08-02 19:59:59.999,4091576544.752,697149,16468.283,1854540856.4133
2025-08-02 20:00:00,112175.5,113022.5,112007.9,112508.8,14443.745,2025-08-02 23:59:59.999,1625343680.4157,400983,7458.38,839237103.1673
2025-08-03 00:00:00,112508.8,113694.0,111850.0,113550.9,17961.77,2025-08-03 03:59:59.999,2028064974.0308,426640,9072.63,1024720807.415
2025-08-03 04:00:00,113550.9,113676.4,113285.7,113647.2,6301.771,2025-08-03 07:59:59.999,715179589.7641,152125,3015.389,342231714.59
2025-08-03 08:00:00,113647.2,114200.0,113492.5,113810.1,11023.459,2025-08-03 11:59:59.999,1254969382.1135,229143,5884.773,669942014.9144
2025-08-03 12:00:00,113810.0,114049.8,113529.6,113904.3,10900.396,2025-08-03 15:59:59.999,1240270714.0492,280376,5057.414,575481626.6612
2025-08-03 16:00:00,113904.3,114730.0,113727.8,114259.0,10570.464,2025-08-03 19:59:59.999,1207569687.5443,284014,5129.38,586108923.0209
2025-08-03 20:00:00,114259.1,114567.3,114011.3,114150.8,6426.009,2025-08-03 23:59:59.999,734206009.2642,214609,2937.51,335615005.079
2025-08-04 00:00:00,114150.9,114963.4,114053.8,114520.2,12295.237,2025-08-04 03:59:59.999,1409151239.9608,332267,5969.819,684313708.1268
2025-08-04 04:00:00,114520.3,114739.3,114089.0,114607.0,9279.797,2025-08-04 07:59:59.999,1061284315.1197,238620,4240.302,484924716.9542
2025-08-04 08:00:00,114607.0,114715.0,114166.0,114450.0,7637.669,2025-08-04 11:59:59.999,874033851.4389,233104,3539.276,405004235.159
2025-08-04 12:00:00,114450.1,115431.6,114070.0,114766.3,27575.335,2025-08-04 15:59:59.999,3167086532.1908,623698,13276.087,1524805711.5786
2025-08-04 16:00:00,114766.4,115686.0,114681.1,114724.0,17022.068,2025-08-04 19:59:59.999,1960355104.6293,435804,8605.818,991160283.3586
2025-08-04 20:00:00,114724.0,115299.0,114580.4,115002.1,9518.485,2025-08-04 23:59:59.999,1094538157.7112,259088,4801.134,552077769.4224
2025-08-05 00:00:00,115002.1,115073.3,114213.6,114215.0,10318.429,2025-08-05 03:59:59.999,1182674735.9998,284718,4953.591,567814103.8947
2025-08-05 04:00:00,114214.9,114468.1,113650.0,113924.7,16889.881,2025-08-05 07:59:59.999,1927854270.5731,303223,7445.188,849881624.453
2025-08-05 08:00:00,113924.7,115057.0,113869.5,114782.0,15542.383,2025-08-05 11:59:59.999,1780572403.507,345471,8458.894,969080912.7531
2025-08-05 12:00:00,114782.1,114860.1,112582.4,112871.8,48789.021,2025-08-05 15:59:59.999,5534959735.552,1054150,22554.355,2558764765.4577
2025-08-05 16:00:00,112871.7,113731.7,112755.1,113573.1,16283.201,2025-08-05 19:59:59.999,1844977287.1174,443249,7784.519,882098791.769
2025-08-05 20:00:00,113573.8,114178.4,113240.1,114069.6,11493.513,2025-08-05 23:59:59.999,1307493670.5015,261259,5434.661,618237193.7773
2025-08-06 00:00:00,114069.6,114091.3,113355.5,113470.1,9186.999,2025-08-06 03:59:59.999,1044462790.4692,252613,4043.657,459692599.242
2025-08-06 04:00:00,113470.2,114390.2,113304.5,114179.2,14343.657,2025-08-06 07:59:59.999,1634439886.2364,324001,7432.395,846965622.5276
2025-08-06 08:00:00,114179.2,114372.7,113663.3,114188.0,11807.499,2025-08-06 11:59:59.999,1346551919.4757,264060,5552.69,633271289.7389
2025-08-06 12:00:00,114187.9,115488.0,113520.0,115366.3,37775.792,2025-08-06 15:59:59.999,4327493797.3323,799013,19895.801,2280009498.5918
2025-08-06 16:00:00,115366.2,115674.2,114867.0,115215.1,18625.447,2025-08-06 19:59:59.999,2147242435.362,398007,8547.737,985520885.138
2025-08-06 20:00:00,115215.0,115228.5,114732.8,114941.0,6859.276,2025-08-06 23:59:59.999,788955691.7226,169636,3037.487,349388545.4431
2025-08-07 00:00:00,114941.0,115144.0,114333.6,114500.8,10847.644,2025-08-07 03:59:59.999,1244110928.6507,250354,5448.987,624974964.2368
2025-08-07 04:00:00,114500.9,114834.4,114211.4,114751.1,10679.936,2025-08-07 07:59:59.999,1223058220.9083,223248,6025.183,689990922.6208
2025-08-07 08:00:00,114751.2,116782.6,114750.0,116469.1,40981.265,2025-08-07 11:59:59.999,4749605610.8884,620345,22628.5,2621901521.7536
2025-08-07 12:00:00,116469.1,116747.6,115950.1,116634.6,24976.017,2025-08-07 15:59:59.999,2906913736.1641,510713,11580.796,1348055826.6206
2025-08-07 16:00:00,116634.6,117487.2,115555.2,117407.6,31486.178,2025-08-07 19:59:59.999,3669384033.0735,565749,16876.273,1967617326.8144
2025-08-07 20:00:00,117407.5,117580.0,116942.2,117419.9,15438.015,2025-08-07 23:59:59.999,1810903707.2426,307192,7761.078,910419871.867
2025-08-08 00:00:00,117419.9,117591.8,116639.9,116692.2,17323.039,2025-08-08 03:59:59.999,2026701560.8207,486664,8002.285,936210072.9207
2025-08-08 04:00:00,116692.2,116917.1,116342.0,116772.0,10920.557,2025-08-08 07:59:59.999,1273701184.3838,252859,5287.938,616790775.6958
2025-08-08 08:00:00,116772.0,116880.0,116256.0,116840.5,10056.008,2025-08-08 11:59:59.999,1172327088.1196,219923,4899.514,571262747.816
2025-08-08 12:00:00,116840.6,117229.9,115850.0,116162.0,25731.574,2025-08-08 15:59:59.999,2997810414.4647,529122,12319.989,1435522745.6181
2025-08-08 16:00:00,116162.1,116863.9,115949.9,116384.4,18032.069,2025-08-08 19:59:59.999,2099258781.5348,376780,9217.002,1073036478.8363
2025-08-08 20:00:00,116384.4,116941.5,116250.0,116628.2,7765.364,2025-08-08 23:59:59.999,906369938.4532,176642,4125.774,481540283.2007
2025-08-09 00:00:00,116628.2,116703.6,116304.0,116331.5,5712.949,2025-08-09 03:59:59.999,665399766.0597,137522,2775.842,323333210.5581
2025-08-09 04:00:00,116331.6,116950.1,116309.0,116703.2,14934.749,2025-08-09 07:59:59.999,1742010556.5988,264638,7562.49,882072975.9384
2025-08-09 08:00:00,116703.3,117906.7,116700.0,117064.9,25544.616,2025-08-09 11:59:59.999,2997149497.9633,476850,13427.766,1575521775.3938
2025-08-09 12:00:00,117065.0,117200.0,116600.0,116835.6,13944.013,2025-08-09 15:59:59.999,1630234692.5193,267022,7285.961,851932563.9724
2025-08-09 16:00:00,116835.5,116900.9,116458.1,116499.9,7593.202,2025-08-09 19:59:59.999,885585194.0286,180640,3616.573,421833234.3649
2025-08-09 20:00:00,116499.9,117000.0,116350.0,116422.1,10195.005,2025-08-09 23:59:59.999,1188698097.3685,187266,5476.956,638667619.7361
2025-08-10 00:00:00,116422.1,118500.0,116413.2,118480.1,34945.874,2025-08-10 03:59:59.999,4110850776.7087,527399,19714.822,2317897221.5282
2025-08-10 04:00:00,118480.0,118738.0,117342.0,117770.0,29066.653,2025-08-10 07:59:59.999,3432714460.9919,517767,13350.404,1576827177.0
2025-08-10 08:00:00,117770.0,118489.9,117568.9,118295.9,16040.238,2025-08-10 11:59:59.999,1895087693.2422,327515,7450.555,880262592.4005
