open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-05-01 00:00:00,94172.0,95040.3,94130.43,94782.6,2877.4378,2025-05-01 03:59:59.999999,272640356.2656165,353264,1750.92805,165924948.3388107
2025-05-01 04:00:00,94782.6,95180.0,94714.38,95025.84,1880.34885,2025-05-01 07:59:59.999999,178617836.1511623,225192,906.07052,86071326.1175435
2025-05-01 08:00:00,95025.84,96396.31,94913.04,96180.01,4237.08588,2025-05-01 11:59:59.999999,406019531.3927888,477152,2504.92488,240021312.75436687
2025-05-01 12:00:00,96180.01,97424.02,95769.66,96854.3,7399.49215,2025-05-01 15:59:59.999999,714263174.3505102,982427,3499.80115,338093659.6353524
2025-05-01 16:00:00,96854.31,97367.26,96424.44,96523.26,3200.80242,2025-05-01 19:59:59.999999,310001362.56744033,513785,1423.93074,137935994.5820509
2025-05-01 20:00:00,96523.26,96885.77,96184.19,96489.91,1785.28633,2025-05-01 23:59:59.999999,172315353.5457491,373896,840.21774,81109957.4306391
2025-05-02 00:00:00,96489.9,97233.1,96466.21,97102.32,2134.18118,2025-05-02 03:59:59.999999,206858644.78092632,431883,1140.88853,110555097.865335
2025-05-02 04:00:00,97102.32,97309.78,96350.0,96350.0,2432.89056,2025-05-02 07:59:59.999999,235390194.16004512,347651,1119.22965,108326319.7543953
2025-05-02 08:00:00,96350.01,97100.0,96350.0,96928.97,1860.2708,2025-05-02 11:59:59.999999,180012083.6963695,289089,978.24871,94669795.4844124
2025-05-02 12:00:00,96928.97,97895.68,96650.94,97330.19,5047.18173,2025-05-02 15:59:59.999999,490735922.0162007,893008,2705.84713,263139233.1023472
2025-05-02 16:00:00,97330.19,97783.02,96769.84,96924.23,2332.70775,2025-05-02 19:59:59.999999,227061138.6825314,514710,961.16141,93553914.0611553
2025-05-02 20:00:00,96924.23,97136.0,96561.57,96887.14,1098.51609,2025-05-02 23:59:59.999999,106329668.2479845,221922,534.95988,51778456.9569747
2025-05-03 00:00:00,96887.13,96935.67,96300.02,96337.5,2058.72462,2025-05-03 03:59:59.999999,198784328.9424419,206456,723.21385,69854276.7243251
2025-05-03 04:00:00,96337.5,96593.0,96132.67,96322.68,1508.87428,2025-05-03 07:59:59.999999,145379043.828817,186930,658.71544,63465815.5051431
2025-05-03 08:00:00,96322.68,96421.91,95852.29,95942.02,2622.43769,2025-05-03 11:59:59.999999,252005021.02645367,243580,1025.05012,98537310.8040129
2025-05-03 12:00:00,95942.01,96509.44,95880.65,96418.68,1447.96366,2025-05-03 15:59:59.999999,139288786.5967755,181434,690.06838,66399060.599369
2025-05-03 16:00:00,96418.68,96428.33,95869.68,96354.34,899.94616,2025-05-03 19:59:59.999999,86537419.9912564,188230,339.11193,32606276.9511909
2025-05-03 20:00:00,96354.34,96441.49,95753.01,95856.42,1185.40197,2025-05-03 23:59:59.999999,113911544.5794053,174609,493.24518,47408551.8602735
2025-05-04 00:00:00,95856.42,96304.48,95588.0,95722.23,1523.29654,2025-05-04 03:59:59.999999,146089548.9468605,359717,739.78812,70928728.5513138
2025-05-04 04:00:00,95722.22,96142.86,95692.7,95879.99,1780.05807,2025-05-04 07:59:59.999999,170780495.5883457,244271,586.09527,56219983.2573138
2025-05-04 08:00:00,95879.99,95923.54,95286.78,95423.2,2146.9622,2025-05-04 11:59:59.999999,205043536.65758207,276306,807.53538,77139287.7073711
2025-05-04 12:00:00,95423.19,95690.48,95209.07,95467.6,1981.94879,2025-05-04 15:59:59.999999,189233532.39241207,216919,718.93087,68649057.7483782
2025-05-04 16:00:00,95467.6,95640.98,95239.33,95584.07,863.77274,2025-05-04 19:59:59.999999,82442185.0649048,157210,390.34056,37258210.2757586
2025-05-04 20:00:00,95584.07,95758.08,94151.38,94277.62,2740.34508,2025-05-04 23:59:59.999999,259953105.2030536,420303,1142.64466,108378203.3168268
2025-05-05 00:00:00,94277.61,94808.4,93514.1,94031.47,4140.14024,2025-05-05 03:59:59.999999,389989190.9722764,580848,2141.95329,201816026.9521152
2025-05-05 04:00:00,94031.47,94825.46,94020.66,94761.91,2335.74375,2025-05-05 07:59:59.999999,220813256.50561008,272908,1167.41069,110350658.015592
2025-05-05 08:00:00,94761.91,94798.01,93888.0,94038.18,2541.09717,2025-05-05 11:59:59.999999,239838651.6840155,260051,1115.11162,105262160.7835625
2025-05-05 12:00:00,94038.19,94531.74,93613.66,93770.31,4184.72517,2025-05-05 15:59:59.999999,393585089.8274001,752948,2065.15651,194279542.2099516
2025-05-05 16:00:00,93770.32,94900.0,93759.63,94347.17,2339.27872,2025-05-05 19:59:59.999999,220781948.40472648,420351,1037.15047,97903900.8446185
2025-05-05 20:00:00,94347.16,95199.0,93876.0,94733.68,1710.19684,2025-05-05 23:59:59.999999,161991242.7819682,336194,872.86597,82687361.5336804
2025-05-06 00:00:00,94733.68,94926.99,94012.78,94454.01,1586.4337,2025-05-06 03:59:59.999999,149820079.5559689,349717,760.79328,71849682.8040143
2025-05-06 04:00:00,94454.01,94638.01,94308.63,94400.99,1310.52658,2025-05-06 07:59:59.999999,123770950.5181001,189181,608.43838,57463110.4749643
2025-05-06 08:00:00,94400.98,94400.99,93720.63,93812.54,2666.58253,2025-05-06 11:59:59.999999,250948976.43952632,299507,969.69125,91226585.7904189
2025-05-06 12:00:00,93812.53,94733.38,93377.0,94558.95,3922.63869,2025-05-06 15:59:59.999999,368886732.4712828,631429,1732.45911,163042843.6643228
2025-05-06 16:00:00,94558.94,95157.0,94216.0,94963.5,2336.80706,2025-05-06 19:59:59.999999,221402543.7637731,426863,1264.40132,119820318.5073883
2025-05-06 20:00:00,94963.5,96920.65,94452.75,96834.02,4299.65657,2025-05-06 23:59:59.999999,412018481.815017,616263,2170.174,207969942.37060487
2025-05-07 00:00:00,96834.02,97732.0,96208.1,96506.9,5180.41253,2025-05-07 03:59:59.999999,502584639.12197936,597569,2633.22097,255467032.69678912
2025-05-07 04:00:00,96506.9,97013.53,96310.89,96994.82,2170.95622,2025-05-07 07:59:59.999999,209689132.8778613,256385,1062.26136,102642072.502282
2025-05-07 08:00:00,96994.82,97111.0,96833.33,97047.43,1298.75814,2025-05-07 11:59:59.999999,125935567.424571,210972,680.09286,65944379.2972116
2025-05-07 12:00:00,97047.43,97478.27,96713.14,96923.91,2791.58426,2025-05-07 15:59:59.999999,270921709.579636,517210,1407.3865,136599118.4465042
2025-05-07 16:00:00,96923.91,96961.04,95784.61,96180.01,3605.87038,2025-05-07 19:59:59.999999,347713667.8008052,877505,1733.7124,167195976.4688534
2025-05-07 20:00:00,96180.0,97390.0,96076.92,97030.5,1597.25701,2025-05-07 23:59:59.999999,154885407.7876014,389498,800.07062,77582032.9938951
2025-05-08 00:00:00,97030.5,99222.22,96876.29,99152.79,6410.02899,2025-05-08 03:59:59.999999,629851776.3281448,835279,3835.98873,376920877.0604628
2025-05-08 04:00:00,99152.79,99419.0,98723.25,99252.34,4129.30669,2025-05-08 07:59:59.999999,409120147.3423973,410626,1845.68976,182912340.5068567
2025-05-08 08:00:00,99252.34,99888.0,99209.04,99409.14,3702.67483,2025-05-08 11:59:59.999999,368875320.9856716,341232,1768.77846,176199041.1428072
2025-05-08 12:00:00,99409.15,101525.03,99090.66,100758.08,7963.43171,2025-05-08 15:59:59.999999,798001833.0645219,1136481,4413.18555,442426770.0962642
2025-05-08 16:00:00,100758.08,101707.02,100596.0,101299.99,5099.76086,2025-05-08 19:59:59.999999,515951049.8407357,867663,2450.94163,247981791.2285781
2025-05-08 20:00:00,101300.0,104145.76,101285.71,103261.6,7656.82539,2025-05-08 23:59:59.999999,786845703.003543,1399866,4232.64596,434893658.329458
