open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-03-01 00:00:00+00:00,84349.95,85678.11,83824.78,85330.84,5097.79792,2025-03-01 03:59:59.999999+00:00,432255124.29894674,779615,2846.3106,241407664.147594
2025-03-01 04:00:00+00:00,85330.83,86558.0,84740.15,84740.15,7178.39161,2025-03-01 07:59:59.999999+00:00,612852118.4887636,647986,2899.04181,247938707.99566647
2025-03-01 08:00:00+00:00,84740.16,85508.79,84382.62,84632.79,4837.66151,2025-03-01 11:59:59.999999+00:00,411040485.7302942,570102,1869.16745,158864682.9538072
2025-03-01 12:00:00+00:00,84632.79,84943.08,84334.39,84800.0,3556.79693,2025-03-01 15:59:59.999999+00:00,300908807.1990686,638980,1539.03928,130188729.0927736
2025-03-01 16:00:00+00:00,84800.01,85591.84,84700.0,85485.41,2835.4461,2025-03-01 19:59:59.999999+00:00,241404413.9175586,593117,1428.52351,121619145.8026795
2025-03-01 20:00:00+00:00,85485.41,86262.74,85285.88,86064.53,2278.96057,2025-03-01 23:59:59.999999+00:00,195542558.2180112,470928,1166.02504,100074892.5458317
2025-03-02 00:00:00+00:00,86064.54,86498.0,85611.79,85873.07,2403.83782,2025-03-02 03:59:59.999999+00:00,206904091.5722202,607596,1273.71276,109660742.085824
2025-03-02 04:00:00+00:00,85873.06,86589.97,85531.87,86232.42,2216.14356,2025-03-02 07:59:59.999999+00:00,190629766.45755672,459623,964.68191,83018920.1616598
2025-03-02 08:00:00+00:00,86232.42,86263.23,85633.13,86105.89,2080.95926,2025-03-02 11:59:59.999999+00:00,178786796.6659756,445065,1117.21401,95986163.0687363
2025-03-02 12:00:00+00:00,86105.88,88673.09,85050.6,87427.99,9943.16012,2025-03-02 15:59:59.999999+00:00,863739869.6112499,1346646,5324.10407,462790849.066191
2025-03-02 16:00:00+00:00,87428.0,95000.0,87278.51,93522.0,30318.42056,2025-03-02 19:59:59.999999+00:00,2785859811.7877836,3314569,16172.36441,1485025307.0597825
2025-03-02 20:00:00+00:00,93522.01,94883.51,93502.0,94270.0,7926.56913,2025-03-02 23:59:59.999999+00:00,746629179.6938827,1229719,4421.73315,416491459.7123456
2025-03-03 00:00:00+00:00,94269.99,94416.46,92433.5,92709.98,6622.76466,2025-03-03 03:59:59.999999+00:00,616988957.2410352,1133054,3083.84256,287329830.7204316
2025-03-03 04:00:00+00:00,92709.98,93361.46,91181.0,92363.58,5852.51871,2025-03-03 07:59:59.999999+00:00,540692444.83987,996850,2860.35084,264514438.45572072
2025-03-03 08:00:00+00:00,92363.58,92917.99,91142.0,92739.99,6314.25279,2025-03-03 11:59:59.999999+00:00,580755570.9878415,1297718,3166.45649,291366466.183901
2025-03-03 12:00:00+00:00,92740.0,93721.37,89117.0,90035.37,14548.25192,2025-03-03 15:59:59.999999+00:00,1326841670.6119993,2297836,7005.74489,639396573.2021725
2025-03-03 16:00:00+00:00,90035.38,91000.0,85555.45,85606.0,16115.70068,2025-03-03 19:59:59.999999+00:00,1420289728.6385908,2400141,7277.96748,641940593.8266888
