open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-06-01 00:00:00+00:00,104591.88,104647.11,103924.52,104381.03,1332.51766,2025-06-01 03:59:59.999999+00:00,138928610.3148829,305349,603.1521,62889303.5203806
2025-06-01 04:00:00+00:00,104381.03,104729.99,104195.12,104275.95,935.26236,2025-06-01 07:59:59.999999+00:00,97690941.7388129,193292,454.99038,47525618.8734998
2025-06-01 08:00:00+00:00,104275.95,104459.07,103752.49,104082.68,1515.57248,2025-06-01 11:59:59.999999+00:00,157662588.3705988,336262,694.01653,72204780.6772151
2025-06-01 12:00:00+00:00,104082.67,104809.53,103783.01,104715.1,1868.98228,2025-06-01 15:59:59.999999+00:00,195212691.25707248,333719,924.48227,96545032.1014199
2025-06-01 16:00:00+00:00,104715.1,105299.21,104319.79,105121.94,2430.98984,2025-06-01 19:59:59.999999+00:00,255216587.4392396,422759,1161.40361,121925344.1663855
2025-06-01 20:00:00+00:00,105121.95,105866.91,104893.72,105642.93,1626.37544,2025-06-01 23:59:59.999999+00:00,171477067.8299929,347978,802.30581,84593387.5958834
2025-06-02 00:00:00+00:00,105642.93,105735.42,104571.42,104829.27,1887.57513,2025-06-02 03:59:59.999999+00:00,198614469.62498647,367795,893.26044,93988501.8660094
2025-06-02 04:00:00+00:00,104829.27,105438.87,104610.13,105387.67,1324.62784,2025-06-02 07:59:59.999999+00:00,139114371.4255275,277046,637.37808,66950551.6438123
2025-06-02 08:00:00+00:00,105387.67,105935.63,103941.0,104047.64,3133.90977,2025-06-02 11:59:59.999999+00:00,328296593.170787,571501,1394.88637,146139956.1278083
2025-06-02 12:00:00+00:00,104047.63,104679.25,103659.88,104438.79,3457.5451,2025-06-02 15:59:59.999999+00:00,360107642.3006738,822524,1816.32337,189221115.81676567
2025-06-02 16:00:00+00:00,104438.79,104731.95,104030.01,104425.63,1581.04916,2025-06-02 19:59:59.999999+00:00,164915085.0309153,490229,721.79973,75287139.935816
2025-06-02 20:00:00+00:00,104425.64,105931.44,104425.64,105857.99,2069.28113,2025-06-02 23:59:59.999999+00:00,217956045.4334832,468561,1031.00698,108590561.2242055
2025-06-03 00:00:00+00:00,105858.0,106500.0,105340.18,105482.02,2370.68744,2025-06-03 03:59:59.999999+00:00,251326270.6019652,468486,1142.62296,121137425.1617979
2025-06-03 04:00:00+00:00,105482.03,105513.02,105116.2,105170.75,1808.4499,2025-06-03 07:59:59.999999+00:00,190456141.20940968,222536,838.66496,88329549.5711156
2025-06-03 08:00:00+00:00,105170.76,105349.94,104872.5,105287.24,1581.41246,2025-06-03 11:59:59.999999+00:00,166292074.7487801,205403,793.04221,83403834.1378187
2025-06-03 12:00:00+00:00,105287.24,106794.67,105031.6,106610.66,3944.17196,2025-06-03 15:59:59.999999+00:00,417996489.855547,720032,1974.04528,209186873.61551672
2025-06-03 16:00:00+00:00,106610.66,106666.67,105592.17,106238.81,2007.43502,2025-06-03 19:59:59.999999+00:00,212976095.0526825,476122,866.43957,91931171.6475964
2025-06-03 20:00:00+00:00,106238.81,106254.92,105266.02,105376.89,1547.36956,2025-06-03 23:59:59.999999+00:00,163446675.1309373,378119,645.40938,68172072.6902773
2025-06-04 00:00:00+00:00,105376.9,105839.63,105132.27,105519.27,1468.56182,2025-06-04 03:59:59.999999+00:00,154970446.1610782,332826,649.9364,68589999.0545658
2025-06-04 04:00:00+00:00,105519.26,105611.96,105250.0,105320.75,2243.32025,2025-06-04 07:59:59.999999+00:00,236452160.1452316,227013,1198.13607,126296938.8049343
2025-06-04 08:00:00+00:00,105320.75,106000.0,105080.26,105084.36,3840.76425,2025-06-04 11:59:59.999999+00:00,405222621.8970587,346456,2110.46416,222845232.3488638
2025-06-04 12:00:00+00:00,105084.36,105542.0,104179.0,105298.27,3906.47888,2025-06-04 15:59:59.999999+00:00,409870404.8342059,690164,1969.33189,206626643.9448462
2025-06-04 16:00:00+00:00,105298.26,105483.14,104865.25,104913.52,1452.09412,2025-06-04 19:59:59.999999+00:00,152716557.4708987,371764,569.4668,59886834.3568059
2025-06-04 20:00:00+00:00,104913.52,105045.79,104407.16,104696.86,1123.6755,2025-06-04 23:59:59.999999+00:00,117696291.860405,306241,482.61378,50558108.9085678
2025-06-05 00:00:00+00:00,104696.86,105240.84,104651.16,105047.15,1126.54275,2025-06-05 03:59:59.999999+00:00,118247907.982378,267155,468.19062,49147265.5552867
2025-06-05 04:00:00+00:00,105047.15,105226.14,104380.0,104518.05,1593.6961,2025-06-05 07:59:59.999999+00:00,166883435.9351877,243475,716.78498,75079939.6477535
2025-06-05 08:00:00+00:00,104518.05,104920.0,104424.52,104827.8,1061.75675,2025-06-05 11:59:59.999999+00:00,111162468.123501,190360,464.40468,48623794.9205683
2025-06-05 12:00:00+00:00,104827.79,105909.71,103900.0,104531.49,5067.78387,2025-06-05 15:59:59.999999+00:00,531291459.9826953,857478,2374.95843,249029271.8569154
2025-06-05 16:00:00+00:00,104531.5,104598.87,101596.62,101914.77,6187.5316,2025-06-05 19:59:59.999999+00:00,636706044.1802331,1215570,2611.76508,268663708.43159807
2025-06-05 20:00:00+00:00,101914.76,102171.44,100372.26,101508.68,7284.19047,2025-06-05 23:59:59.999999+00:00,737276576.3265496,1189257,3369.2564,341124536.6305891
2025-06-06 00:00:00+00:00,101508.69,102520.0,101095.8,102493.3,2752.42188,2025-06-06 03:59:59.999999+00:00,280337431.25985086,463227,1517.23506,154550572.4386798
2025-06-06 04:00:00+00:00,102493.3,103468.66,102387.38,103150.44,2278.64268,2025-06-06 07:59:59.999999+00:00,234519854.5026543,316808,1048.48975,107933148.6746077
2025-06-06 08:00:00+00:00,103150.44,103991.45,103150.43,103927.99,2218.22642,2025-06-06 11:59:59.999999+00:00,229913470.7490448,324584,1009.14771,104601879.2815007
2025-06-06 12:00:00+00:00,103927.99,105333.0,103513.7,105092.28,4660.37233,2025-06-06 15:59:59.999999+00:00,486546688.8996193,864287,2328.70892,243215352.88597953
2025-06-06 16:00:00+00:00,105092.28,105284.0,104013.21,104219.8,2762.90707,2025-06-06 19:59:59.999999+00:00,289329104.2532827,505866,1150.73834,120522322.521172
2025-06-06 20:00:00+00:00,104219.8,104617.56,104167.98,104288.44,1166.50347,2025-06-06 23:59:59.999999+00:00,121735855.2711233,234555,601.28701,62752545.6338535
2025-06-07 00:00:00+00:00,104288.43,104910.77,103871.09,104871.58,1400.16428,2025-06-07 03:59:59.999999+00:00,146265247.2439572,316148,731.02498,76374574.168445
2025-06-07 04:00:00+00:00,104871.59,105319.13,104643.62,104867.04,1309.06461,2025-06-07 07:59:59.999999+00:00,137352383.4161124,198415,614.14214,64452315.2963642
2025-06-07 08:00:00+00:00,104867.03,105264.0,104689.81,105150.01,1180.35371,2025-06-07 11:59:59.999999+00:00,123955243.7168437,205309,451.1473,47381329.1809487
2025-06-07 12:00:00+00:00,105150.01,105800.0,105150.0,105558.11,2197.72958,2025-06-07 15:59:59.999999+00:00,231765883.8056284,307646,1150.77241,121342474.7015871
2025-06-07 16:00:00+00:00,105558.11,105884.46,105279.06,105725.91,1536.04392,2025-06-07 19:59:59.999999+00:00,162256848.8354296,226137,688.02892,72686033.1471635
2025-06-07 20:00:00+00:00,105725.91,105900.0,105534.88,105552.15,721.57596,2025-06-07 23:59:59.999999+00:00,76319773.9368518,148839,334.90337,35427472.6967627
2025-06-08 00:00:00+00:00,105552.15,105786.33,105394.03,105471.59,1084.68276,2025-06-08 03:59:59.999999+00:00,114444443.8086532,154210,565.71738,59686488.5625228
2025-06-08 04:00:00+00:00,105471.59,105653.13,105408.38,105426.45,623.06268,2025-06-08 07:59:59.999999+00:00,65737115.4781939,115683,278.43323,29378412.3755238
2025-06-08 08:00:00+00:00,105426.46,105720.94,104964.14,105686.71,1672.01298,2025-06-08 11:59:59.999999+00:00,176135665.4166516,238274,940.62293,99104051.5773383
2025-06-08 12:00:00+00:00,105686.71,106160.19,105520.25,105984.52,2200.98155,2025-06-08 15:59:59.999999+00:00,232813856.3654502,320250,1429.40368,151186872.7657881
2025-06-08 16:00:00+00:00,105984.53,106360.0,105943.91,106289.99,1099.96633,2025-06-08 19:59:59.999999+00:00,116826393.162544,207139,532.34251,56538024.701923
2025-06-08 20:00:00+00:00,106289.99,106488.14,105545.71,105734.0,1367.35675,2025-06-08 23:59:59.999999+00:00,144929655.1968047,259598,614.90293,65204656.105228
2025-06-09 00:00:00+00:00,105734.01,105966.33,105318.37,105659.13,1795.0497,2025-06-09 03:59:59.999999+00:00,189593192.59217352,325484,784.98097,82903195.4161327
2025-06-09 04:00:00+00:00,105659.14,105717.3,105319.0,105560.71,1470.33986,2025-06-09 07:59:59.999999+00:00,155180983.7168025,173955,653.71161,68996839.4066463
2025-06-09 08:00:00+00:00,105560.71,107806.0,105473.57,107759.21,4424.95656,2025-06-09 11:59:59.999999+00:00,473120285.0274583,527766,2690.6795,287616731.75444
2025-06-09 12:00:00+00:00,107759.21,108020.0,106860.0,107635.91,3544.41855,2025-06-09 15:59:59.999999+00:00,381447359.4338196,598278,1797.54148,193492007.8509161
2025-06-09 16:00:00+00:00,107635.91,108767.24,107635.91,108564.72,2689.46607,2025-06-09 19:59:59.999999+00:00,291102291.5999597,511597,1263.21691,136747168.4353352
2025-06-09 20:00:00+00:00,108565.86,110530.17,108456.08,110263.02,6051.14377,2025-06-09 23:59:59.999999+00:00,664477909.8509592,702766,3433.7517,377034122.6500913
2025-06-10 00:00:00+00:00,110263.02,110311.82,109381.24,109568.02,2356.61975,2025-06-10 03:59:59.999999+00:00,258795023.548401,377962,992.37561,108979806.2359635
2025-06-10 04:00:00+00:00,109568.03,109737.68,109095.67,109205.14,2317.07387,2025-06-10 07:59:59.999999+00:00,253367346.27809447,308891,931.06833,101841409.3456635
2025-06-10 08:00:00+00:00,109205.14,109851.8,109056.9,109541.28,2344.90457,2025-06-10 11:59:59.999999+00:00,256567638.23995447,368615,1292.48006,141440607.0340355
2025-06-10 12:00:00+00:00,109541.93,109900.81,108331.03,109015.42,5247.00781,2025-06-10 15:59:59.999999+00:00,572242992.4702703,823507,2268.71235,247472041.8633344
2025-06-10 16:00:00+00:00,109015.41,110400.0,108518.86,109526.3,2639.86004,2025-06-10 19:59:59.999999+00:00,288800370.802992,605668,1481.75375,162137663.3779682
2025-06-10 20:00:00+00:00,109526.3,110299.73,109239.68,110274.39,2166.36235,2025-06-10 23:59:59.999999+00:00,237847178.8524606,518777,1042.90571,114539746.5399837
2025-06-11 00:00:00+00:00,110274.39,110274.4,109533.97,109722.95,1393.61311,2025-06-11 03:59:59.999999+00:00,153022600.7860559,332156,521.27421,57240019.5439325
2025-06-11 04:00:00+00:00,109722.95,109745.29,109373.67,109446.74,1000.47435,2025-06-11 07:59:59.999999+00:00,109599176.5527946,195722,360.83103,39530956.072316
2025-06-11 08:00:00+00:00,109446.74,109675.69,109193.89,109252.09,1633.7552,2025-06-11 11:59:59.999999+00:00,178736867.6732599,187975,559.461,61206485.3384296
2025-06-11 12:00:00+00:00,109252.1,110392.01,109008.82,109735.7,4399.26765,2025-06-11 15:59:59.999999+00:00,482990904.08559585,851848,2433.37006,267158744.9448431
2025-06-11 16:00:00+00:00,109735.7,109815.84,108412.01,108742.37,2837.53217,2025-06-11 19:59:59.999999+00:00,309559733.7574663,656391,1355.71391,147922420.7276888
2025-06-11 20:00:00+00:00,108742.37,109219.51,108064.0,108645.12,1851.2739,2025-06-11 23:59:59.999999+00:00,200975356.8954578,442922,800.31846,86888591.3761769
2025-06-12 00:00:00+00:00,108645.13,108813.55,107730.0,107860.05,3756.8345,2025-06-12 03:59:59.999999+00:00,406706749.3719878,498042,1682.19753,182278745.97170487
2025-06-12 04:00:00+00:00,107860.04,107993.58,107320.0,107633.53,2337.6809,2025-06-12 07:59:59.999999+00:00,251755740.01813993,311048,1147.15014,123533636.4070022
2025-06-12 08:00:00+00:00,107633.53,107835.83,106874.47,106900.95,1866.42836,2025-06-12 11:59:59.999999+00:00,200386361.9522486,385568,861.90316,92567386.9899656
2025-06-12 12:00:00+00:00,106900.95,107822.5,106600.0,107020.95,3201.2854,2025-06-12 15:59:59.999999+00:00,343181119.2877534,635073,1584.95699,169930431.9291256
2025-06-12 16:00:00+00:00,107020.96,108450.16,106680.0,106788.8,2559.00784,2025-06-12 19:59:59.999999+00:00,275585406.137365,773724,1293.38747,139354485.7584002
2025-06-12 20:00:00+00:00,106789.8,106960.77,105671.72,105671.73,4057.43518,2025-06-12 23:59:59.999999+00:00,430693897.3193397,913965,1721.63119,182755824.414243
2025-06-13 00:00:00+00:00,105671.74,105694.0,102664.31,104277.22,11535.37443,2025-06-13 03:59:59.999999+00:00,1198076597.889339,1915386,5123.38754,531939857.4564956
2025-06-13 04:00:00+00:00,104277.22,104970.12,103782.75,104895.0,3355.01643,2025-06-13 07:59:59.999999+00:00,350214514.2909118,666305,1885.93155,196957158.4243126
2025-06-13 08:00:00+00:00,104895.01,105434.34,104425.79,105039.48,3146.66203,2025-06-13 11:59:59.999999+00:00,330123262.698738,619698,1741.46629,182779920.9998648
2025-06-13 12:00:00+00:00,105039.48,105747.47,104118.0,105436.87,3901.15519,2025-06-13 15:59:59.999999+00:00,409648641.6286346,1025707,1931.5671,202874563.51411727
2025-06-13 16:00:00+00:00,105436.87,105981.0,104668.73,105110.0,2950.53869,2025-06-13 19:59:59.999999+00:00,310921173.1640916,857134,1385.45781,146063615.8394603
2025-06-13 20:00:00+00:00,105110.01,106179.53,105020.87,106066.59,1292.07057,2025-06-13 23:59:59.999999+00:00,136477701.0212552,368347,725.89676,76685239.7609687
2025-06-14 00:00:00+00:00,106066.59,106252.0,105197.96,105228.82,3017.48753,2025-06-14 03:59:59.999999+00:00,318910479.5396365,331857,1373.31624,145242101.076088
2025-06-14 04:00:00+00:00,105228.83,105397.06,104792.98,105076.59,1002.68077,2025-06-14 07:59:59.999999+00:00,105458707.26951,163176,457.96315,48170785.4324291
2025-06-14 08:00:00+00:00,105076.59,105132.36,104836.06,105082.01,786.7679,2025-06-14 11:59:59.999999+00:00,82605938.0816111,152044,359.37051,37733270.968887
2025-06-14 12:00:00+00:00,105082.01,105131.25,104615.38,104841.3,1045.14048,2025-06-14 15:59:59.999999+00:00,109644890.0167668,222647,439.47679,46110841.372582
2025-06-14 16:00:00+00:00,104841.29,105045.78,104359.08,104645.67,1687.29248,2025-06-14 19:59:59.999999+00:00,176564651.2670328,336509,673.14485,70440041.9833055
2025-06-14 20:00:00+00:00,104645.66,105480.0,104300.0,105414.64,1259.57053,2025-06-14 23:59:59.999999+00:00,132383948.0038493,315543,545.28344,57304235.09298
2025-06-15 00:00:00+00:00,105414.63,105680.0,105264.75,105473.55,759.41728,2025-06-15 03:59:59.999999+00:00,80115866.0426814,140245,384.88723,40603483.3320084
2025-06-15 04:00:00+00:00,105473.54,106128.57,105200.0,105428.0,1381.52981,2025-06-15 07:59:59.999999+00:00,145914173.6524396,189645,710.27046,75050121.7243555
2025-06-15 08:00:00+00:00,105428.0,105482.4,104867.64,104970.51,1057.15319,2025-06-15 11:59:59.999999+00:00,111074906.3406616,217191,492.98713,51799064.2080369
2025-06-15 12:00:00+00:00,104970.51,105838.24,104955.48,105564.0,1245.40098,2025-06-15 15:59:59.999999+00:00,131340497.8348472,304364,605.35588,63826669.3936878
2025-06-15 16:00:00+00:00,105563.99,105777.09,105082.97,105294.19,975.97763,2025-06-15 19:59:59.999999+00:00,102942354.7729366,225378,417.79269,44070382.1879691
2025-06-15 20:00:00+00:00,105294.19,105617.82,104494.53,105594.01,1744.72158,2025-06-15 23:59:59.999999+00:00,183209089.231234,487945,745.17573,78258856.8393197
2025-06-16 00:00:00+00:00,105594.02,105970.59,104980.37,105921.84,1680.0381,2025-06-16 03:59:59.999999+00:00,177466861.5825469,459688,815.10103,86114500.4168178
2025-06-16 04:00:00+00:00,105921.85,107262.31,105874.48,107061.8,2778.21159,2025-06-16 07:59:59.999999+00:00,296301104.2448094,372008,1456.99462,155342857.65944
