calc_time,funding_interval_hours,last_funding_rate
1754006400001,8,-0.00001408
1754035200003,8,0.00001549
1754064000000,8,0.00005681
1754092800004,8,0.00004810
1754121600000,8,0.00000894
1754150400000,8,0.00004437
1754179200000,8,0.00005633
1754208000000,8,0.00004533
1754236800003,8,0.00007504
1754265600004,8,0.00004188
1754294400000,8,0.00005719
1754323200002,8,0.00003912
1754352000000,8,0.00007101
1754380800000,8,0.00008589
1754409600000,8,0.00004784
1754438400005,8,0.00005172
1754467200000,8,0.00009275
1754496000000,8,0.00008288
1754524800003,8,0.00004843
1754553600002,8,0.00007574
1754582400002,8,0.00006275
1754611200002,8,0.00002403
1754640000004,8,0.00001729
1754668800000,8,0.00007973
1754697600005,8,0.00008835
1754726400000,8,0.00009087
1754755200007,8,0.00005151
1754784000003,8,0.00009849
1754812800005,8,0.00010000
1754841600002,8,0.00010000
1754870400000,8,0.00010000
1754899200000,8,0.00010000
1754928000000,8,0.00010000
1754956800000,8,0.00010000
1754985600001,8,0.00007988
1755014400005,8,0.00008543
1755043200000,8,0.00007123
1755072000002,8,0.00010000
1755100800006,8,0.00010000
1755129600002,8,0.00010000
1755158400003,8,0.00010000
1755187200000,8,0.00010000
1755216000000,8,0.00001939
1755244800000,8,0.00007990
1755273600000,8,0.00003722
1755302400004,8,0.00008850
1755331200000,8,0.00008268
1755360000002,8,0.00009023
1755388800000,8,0.00008206
1755417600001,8,0.00004680
1755446400007,8,0.00001862
1755475200000,8,0.00002846
1755504000001,8,-0.00000682
1755532800002,8,0.00005296
1755561600000,8,0.00007137
1755590400001,8,0.00006262
1755619200000,8,0.00003167
1755648000000,8,0.00004543
1755676800000,8,0.00001364
1755705600000,8,0.00004936
1755734400006,8,0.00001143
1755763200000,8,0.00007757
1755792000003,8,0.00007414
1755820800010,8,0.00007296
1755849600007,8,0.00010000
1755878400001,8,0.00005867
1755907200004,8,0.00010000
1755936000006,8,0.00010000
1755964800000,8,0.00009711
1755993600001,8,0.00010000
1756022400002,8,0.00010000
1756051200001,8,0.00010000
1756080000000,8,0.00010000
1756108800002,8,0.00010000
1756137600002,8,0.00008344
1756166400000,8,0.00004522
1756195200000,8,0.00003900
1756224000000,8,0.00010000
1756252800003,8,0.00001802
1756281600000,8,0.00005503
1756310400009,8,0.00003496
1756339200000,8,0.00005297
1756368000005,8,0.00009693
1756396800004,8,0.00007512
1756425600000,8,0.00004261
1756454400000,8,0.00005856
1756483200005,8,0.00000644
1756512000000,8,0.00007523
1756540800002,8,0.00007979
1756569600003,8,0.00008042
1756598400016,8,-0.00001232
1756627200000,8,0.00004749
1756656000001,8,0.00010000
