calc_time,funding_interval_hours,last_funding_rate
1743465600000,8,0.00003961
1743494400001,8,0.00002889
1743523200000,8,0.00003573
1743552000001,8,-0.00002112
1743580800000,8,0.00003036
1743609600000,8,0.00000733
1743638400000,8,0.00005862
1743667200000,8,0.00005038
1743696000000,8,0.00006484
1743724800000,8,0.00004283
1743753600000,8,0.00004736
1743782400000,8,0.00008038
1743811200000,8,0.00008559
1743840000000,8,0.00007437
1743868800000,8,0.00000408
1743897600000,8,0.00000221
1743926400000,8,0.00005363
1743955200002,8,-0.00000603
1743984000000,8,0.00004946
1744012800000,8,0.00006857
1744041600000,8,0.00004998
1744070400000,8,0.00004074
1744099200000,8,0.00003575
1744128000000,8,0.00003134
1744156800000,8,0.00009568
1744185600001,8,-0.00002252
1744214400000,8,0.00006856
1744243200000,8,0.00007705
1744272000000,8,0.00000114
1744300800000,8,0.00006775
1744329600001,8,0.00002065
1744358400000,8,-0.00004294
1744387200000,8,0.00003290
1744416000000,8,0.00003654
1744444800001,8,0.00005640
1744473600000,8,0.00005388
1744502400000,8,0.00005057
1744531200000,8,0.00008429
1744560000000,8,0.00009642
1744588800000,8,0.00008113
1744617600000,8,0.00007127
1744646400000,8,0.00002428
1744675200000,8,-0.00002073
1744704000000,8,0.00006606
1744732800001,8,0.00001883
1744761600000,8,0.00002428
1744790400000,8,0.00006917
1744819200000,8,0.00001978
1744848000001,8,0.00001404
1744876800000,8,0.00005679
1744905600001,8,0.00003425
1744934400000,8,0.00001788
1744963200000,8,0.00007071
1744992000000,8,0.00002995
1745020800000,8,0.00002930
1745049600000,8,0.00006024
1745078400000,8,-0.00001953
1745107200000,8,-0.00000298
1745136000000,8,-0.00001078
1745164800000,8,-0.00002258
1745193600000,8,0.00005232
1745222400005,8,0.00005403
1745251200003,8,0.00001553
1745280000008,8,0.00007749
1745308800000,8,-0.00000744
1745337600000,8,-0.00007045
1745366400000,8,-0.00001389
1745395200002,8,0.00001374
1745424000000,8,0.00004587
1745452800000,8,-0.00002671
1745481600001,8,0.00005210
1745510400001,8,-0.00002165
1745539200007,8,-0.00001764
1745568000002,8,0.00000170
1745596800003,8,0.00000120
1745625600002,8,-0.00010085
1745654400000,8,-0.00002774
1745683200002,8,0.00002855
1745712000001,8,-0.00001500
1745740800000,8,-0.00000660
1745769600000,8,-0.00000421
1745798400001,8,0.00000373
1745827200003,8,0.00000246
1745856000005,8,-0.00005821
1745884800000,8,-0.00000773
1745913600000,8,0.00000413
1745942400010,8,0.00001305
1745971200001,8,-0.00005181
1746000000000,8,0.00002939
1746028800003,8,-0.00003797
