calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,-1.4E-7
1740816000000,8,-0.00006108
1740844800001,8,-0.00000858
1740873600000,8,-0.00001094
1740902400000,8,-0.00002783
1740931200000,8,-0.00002869
1740960000001,8,-0.00005518
1740988800000,8,0.00000791
1741017600000,8,0.00005272
1741046400001,8,-0.00001526
1741075200005,8,-0.00000270
1741104000000,8,0.00001306
1741132800000,8,0.00004113
1741161600000,8,0.00002722
1741190400000,8,0.00005028
1741219200000,8,0.00003538
1741248000001,8,0.00006413
1741276800000,8,0.00006818
1741305600000,8,-0.00000612
1741334400001,8,-0.00001539
1741363200000,8,0.00002028
1741392000000,8,0.00005328
1741420800001,8,0.00000373
1741449600001,8,0.00001208
1741478400001,8,-0.00002779
1741507200000,8,0.00003218
1741536000000,8,0.00010000
1741564800000,8,0.00003952
1741593600000,8,0.00001344
1741622400000,8,0.00004037
1741651200000,8,0.00004705
1741680000000,8,0.00003260
1741708800001,8,0.00008746
1741737600000,8,0.00000576
1741766400000,8,0.00005815
1741795200001,8,0.00004013
1741824000000,8,0.00000430
1741852800000,8,0.00002069
1741881600000,8,0.00003190
1741910400000,8,0.00005386
1741939200000,8,0.00005331
1741968000000,8,0.00000357
1741996800000,8,-0.00006035
1742025600000,8,-0.00002389
1742054400000,8,-0.00000321
1742083200000,8,0.00000432
1742112000000,8,0.00004236
1742140800000,8,0.00001247
1742169600000,8,0.00001065
1742198400000,8,0.00008474
1742227200000,8,0.00000859
1742256000000,8,0.00000703
1742284800000,8,0.00002059
1742313600000,8,0.00003514
1742342400000,8,0.00000200
1742371200000,8,0.00005961
1742400000000,8,0.00005024
1742428800000,8,0.00001944
1742457600000,8,0.00003790
1742486400000,8,0.00001086
1742515200000,8,0.00001615
1742544000000,8,0.00005324
1742572800000,8,0.00002518
1742601600000,8,0.00002836
1742630400004,8,-0.00001770
1742659200000,8,0.00005092
1742688000000,8,0.00002099
1742716800000,8,-0.00000184
1742745600000,8,0.00004020
1742774400000,8,0.00002039
1742803200000,8,0.00005512
1742832000000,8,-0.00003422
1742860800001,8,-0.00000247
1742889600000,8,0.00001150
1742918400000,8,-0.00003776
1742947200000,8,-0.00002990
1742976000000,8,0.00001659
1743004800001,8,-0.00003082
1743033600001,8,0.00003136
1743062400001,8,0.00005512
1743091200002,8,-0.00003760
1743120000001,8,0.00001584
1743148800001,8,-0.00000457
1743177600000,8,0.00008118
1743206400000,8,0.00005364
1743235200000,8,0.00008214
1743264000000,8,0.00002530
1743292800000,8,0.00000341
1743321600000,8,0.00000427
1743350400000,8,0.00004588
1743379200000,8,0.00002643
1743408000000,8,0.00006020
1743436800000,8,0.00001845
