calc_time,funding_interval_hours,last_funding_rate
1706745600000,8,0.00010000
1706774400000,8,0.00010000
1706803200002,8,0.00010000
1706832000000,8,0.00010000
1706860800000,8,0.00010000
1706889600000,8,0.00010000
1706918400000,8,0.00007627
1706947200000,8,0.00009042
1706976000001,8,0.00008028
1707004800000,8,0.00008307
1707033600004,8,0.00008846
1707062400000,8,0.00010000
1707091200000,8,0.00010000
1707120000000,8,0.00010000
1707148800000,8,0.00010000
1707177600000,8,0.00010000
1707206400001,8,0.00006723
1707235200000,8,0.00010000
1707264000000,8,0.00007527
1707292800000,8,0.00005373
1707321600000,8,0.00008306
1707350400000,8,0.00010000
1707379200000,8,0.00006535
1707408000000,8,0.00002590
1707436800000,8,0.00003160
1707465600000,8,0.00010000
1707494400001,8,0.00009801
1707523200001,8,0.00008041
1707552000000,8,0.00010000
1707580800000,8,0.00010000
1707609600000,8,0.00010000
1707638400001,8,0.00010000
1707667200000,8,0.00010000
1707696000000,8,0.00010000
1707724800000,8,0.00010000
1707753600000,8,0.00010000
1707782400000,8,0.00010000
1707811200000,8,0.00010000
1707840000000,8,0.00010000
1707868800000,8,0.00010000
1707897600000,8,0.00010000
1707926400000,8,0.00012283
1707955200000,8,0.00010000
1707984000000,8,0.00010000
1708012800000,8,0.00010000
1708041600000,8,0.00010000
1708070400000,8,0.00010000
1708099200000,8,0.00010000
1708128000000,8,0.00010000
1708156800000,8,0.00010000
1708185600000,8,0.00016041
1708214400000,8,0.00017240
1708243200000,8,0.00015305
1708272000000,8,0.00017095
1708300800000,8,0.00023064
1708329600000,8,0.00019594
1708358400000,8,0.00013327
1708387200000,8,0.00010461
1708416000000,8,0.00010912
1708444800000,8,0.00020259
1708473600000,8,0.00010000
1708502400000,8,0.00011242
1708531200000,8,0.00010000
1708560000001,8,0.00010000
1708588800001,8,0.00013480
1708617600000,8,0.00012557
1708646400000,8,0.00010000
1708675200000,8,0.00010000
1708704000000,8,0.00012991
1708732800000,8,0.00010000
1708761600001,8,0.00010000
1708790400000,8,0.00010000
1708819200001,8,0.00011438
1708848000000,8,0.00015012
1708876800000,8,0.00015062
1708905600000,8,0.00026761
1708934400000,8,0.00021567
1708963200000,8,0.00027227
1708992000000,8,0.00032262
1709020800000,8,0.00073521
1709049600000,8,0.00022965
1709078400000,8,0.00026729
1709107200000,8,0.00023682
1709136000000,8,0.00053538
1709164800000,8,0.00069091
1709193600000,8,0.00076337
1709222400000,8,0.00057031
