calc_time,funding_interval_hours,last_funding_rate
1727740800000,8,0.00010000
1727769600000,8,0.00010000
1727798400001,8,0.00010000
1727827200000,8,0.00006632
1727856000000,8,0.00008409
1727884800000,8,0.00008191
1727913600000,8,0.00004381
1727942400000,8,0.00003746
1727971200000,8,0.00004990
1728000000000,8,0.00007097
1728028800000,8,0.00002119
1728057600001,8,0.00000243
1728086400000,8,-0.00001596
1728115200000,8,0.00001088
1728144000000,8,0.00000861
1728172800000,8,0.00000572
1728201600001,8,0.00003288
1728230400000,8,0.00004180
1728259200000,8,0.00004573
1728288000000,8,-0.00000952
1728316800001,8,0.00002177
1728345600000,8,-0.00001678
1728374400000,8,0.00007094
1728403200000,8,0.00008100
1728432000000,8,0.00010000
1728460800000,8,0.00005138
1728489600000,8,0.00007939
1728518400000,8,0.00002090
1728547200000,8,0.00001532
1728576000000,8,0.00010000
1728604800000,8,0.00002231
1728633600000,8,-0.00001874
1728662400001,8,0.00000120
1728691200000,8,0.00004558
1728720000001,8,0.00007664
1728748800000,8,-0.00001489
1728777600000,8,0.00000693
1728806400000,8,0.00001638
1728835200000,8,0.00003938
1728864000000,8,0.00005429
1728892800000,8,0.00010000
1728921600000,8,0.00010000
1728950400000,8,0.00010000
1728979200000,8,0.00010000
1729008000000,8,0.00010000
1729036800000,8,0.00008325
1729065600001,8,0.00008500
1729094400000,8,0.00010000
1729123200000,8,0.00010000
1729152000000,8,0.00010000
1729180800001,8,0.00010000
1729209600010,8,0.00010000
1729238400001,8,0.00010000
1729267200000,8,0.00010000
1729296000000,8,0.00010000
1729324800000,8,0.00010000
1729353600000,8,0.00010000
1729382400000,8,0.00010000
1729411200000,8,0.00010000
1729440000000,8,0.00010000
1729468800000,8,0.00010000
1729497600000,8,0.00010000
1729526400000,8,0.00010000
1729555200000,8,0.00010000
1729584000000,8,0.00010000
1729612800000,8,0.00010000
1729641600000,8,0.00010000
1729670400000,8,0.00010000
1729699200000,8,0.00010000
1729728000000,8,0.00010000
1729756800000,8,0.00010000
1729785600000,8,0.00010000
1729814400000,8,0.00010000
1729843200000,8,0.00010000
1729872000000,8,0.00010000
1729900800000,8,0.00004755
1729929600001,8,0.00007569
1729958400000,8,0.00010000
1729987200000,8,0.00010000
1730016000000,8,0.00009724
1730044800000,8,0.00010000
1730073600000,8,0.00009425
1730102400001,8,0.00010000
1730131200000,8,0.00008946
1730160000000,8,0.00010000
1730188800000,8,0.00010000
1730217600004,8,0.00010000
1730246400000,8,0.00010000
1730275200000,8,0.00010000
1730304000013,8,0.00010000
1730332800000,8,0.00010000
1730361600000,8,0.00010000
1730390400000,8,0.00010000
