,entry_time,side,entry_price,exit_time,exit_price,bars_held,pnl_price_usd,funding_usd,fees_usd,pnl_total_usd,exit_reason
0,2024-01-04 08:00:00+00:00,LONG,43141.159799999994,2024-01-12 20:00:00+00:00,42788.9,51,-81.65283493374974,26.0,-8.0,-63.652834933749745,time_long_no_reclaim
1,2024-01-06 12:00:00+00:00,LONG,43667.12265,2024-01-08 00:00:00+00:00,43501.9,9,-37.83685298531903,5.0,-8.0,-40.83685298531903,time_long_no_reclaim
2,2024-01-08 12:00:00+00:00,LONG,43991.985,2024-01-12 12:00:00+00:00,44495.1,24,114.36515083372623,12.0,-8.0,118.36515083372623,time_long_no_reclaim
3,2024-01-10 16:00:00+00:00,LONG,45552.965099999994,2024-01-11 04:00:00+00:00,46096.1,3,119.2315140864464,2.0,-8.0,113.2315140864464,time_long_no_reclaim
4,2024-01-13 04:00:00+00:00,LONG,42810.29445,2024-01-13 16:00:00+00:00,42791.1,3,-4.483606162163367,2.0,-8.0,-10.483606162163367,time_long_no_reclaim
5,2024-01-15 04:00:00+00:00,LONG,41755.76745,2024-01-15 20:00:00+00:00,42515.0,4,181.82698974677837,2.0,-8.0,175.82698974677837,time_long_no_reclaim
6,2024-01-17 20:00:00+00:00,LONG,42499.539150000004,2024-01-18 08:00:00+00:00,42540.0,3,9.520303233687688,2.0,-8.0,3.520303233687688,time_long_no_reclaim
7,2024-01-19 20:00:00+00:00,LONG,40917.4485,2024-01-20 08:00:00+00:00,41583.6,3,162.80377306517434,2.0,-8.0,156.80377306517434,time_long_no_reclaim
8,2024-01-23 00:00:00+00:00,LONG,39832.40625,2024-01-23 08:00:00+00:00,38850.1,2,-246.6098191092836,2.0,-8.0,-252.6098191092836,time_long_no_reclaim
9,2024-01-25 00:00:00+00:00,LONG,39817.2987,2024-01-25 12:00:00+00:00,39793.6,3,-5.951860315426272,2.0,-8.0,-11.951860315426272,time_long_no_reclaim
10,2024-01-27 12:00:00+00:00,LONG,41719.94955,2024-01-28 16:00:00+00:00,41770.6,7,12.140582753892293,3.3025,-8.0,7.443082753892293,fresh_low_cont
11,2024-01-29 12:00:00+00:00,LONG,42061.02,2024-01-31 20:00:00+00:00,42560.5,14,118.75128087716513,5.6795,-8.0,116.43078087716513,time_long_no_reclaim
12,2024-02-06 12:00:00+00:00,LONG,42891.435,2024-02-07 00:00:00+00:00,42783.0,3,-25.28127119085566,1.7527,-8.0,-31.528571190855658,time_long_no_reclaim
13,2024-02-06 20:00:00+00:00,SHORT,43210.384000000005,2024-02-07 08:00:00+00:00,42917.4,3,67.80407228040409,-1.29,-8.0,58.51407228040408,time_short
14,2024-02-08 12:00:00+00:00,LONG,44523.0504,2024-02-08 16:00:00+00:00,45260.1,1,165.5433743596335,0.259,-8.0,157.8023743596335,fresh_low_cont
15,2024-02-13 20:00:00+00:00,LONG,48777.47655,2025-08-31 20:00:00+00:00,108208.4,3390,12184.091440048061,1399.816599999999,-8.0,13575.90804004806,eod_close
16,2024-02-16 00:00:00+00:00,LONG,52048.011,2024-02-16 08:00:00+00:00,52241.1,2,37.098247616031976,2.0,-8.0,31.098247616031976,time_long_no_reclaim
17,2024-02-21 20:00:00+00:00,LONG,51209.291849999994,2024-02-22 08:00:00+00:00,51659.2,3,87.85674117850695,2.348,-8.0,82.20474117850695,time_long_no_reclaim
18,2024-02-24 04:00:00+00:00,LONG,50797.28595,2025-08-31 20:00:00+00:00,108208.4,3328,11302.00422646793,1361.2314999999987,-8.0,12655.235726467929,eod_close
19,2024-03-06 04:00:00+00:00,LONG,63779.2737,2024-03-06 12:00:00+00:00,66541.3,2,433.0601682596469,3.3876,-8.0,428.4477682596469,fresh_low_cont
20,2024-03-09 04:00:00+00:00,LONG,68214.2901,2024-03-09 16:00:00+00:00,68255.0,3,5.967943071798487,5.7688,-8.0,3.736743071798486,time_long_no_reclaim
21,2024-03-14 04:00:00+00:00,LONG,73164.1638,2024-03-14 16:00:00+00:00,69500.4,3,-500.7593348589601,7.7011,-8.0,-501.0582348589601,struct_long
22,2024-03-17 04:00:00+00:00,LONG,65383.6755,2024-03-19 04:00:00+00:00,64742.1,12,-98.12472227872848,14.749600000000001,-8.0,-91.37512227872848,time_long_no_reclaim
23,2024-03-20 04:00:00+00:00,LONG,62005.087049999995,2024-04-16 00:00:00+00:00,62937.6,161,150.39297489382486,144.2786,-8.0,286.67157489382487,time_long_no_reclaim
24,2024-03-23 04:00:00+00:00,LONG,63857.91299999999,2024-03-23 20:00:00+00:00,64020.3,4,25.42942485452171,2.0806,-8.0,19.51002485452171,time_long_no_reclaim
25,2024-04-01 00:00:00+00:00,SHORT,71099.53245000001,2024-04-01 08:00:00+00:00,69520.4,2,222.10166446741786,-10.3652,-8.0,203.73646446741787,time_short
26,2024-04-02 16:00:00+00:00,LONG,65717.04209999999,2024-04-03 12:00:00+00:00,65873.9,5,23.86867926303049,3.6456,-8.0,19.514279263030488,time_long_no_reclaim
27,2024-04-04 16:00:00+00:00,LONG,66394.68075,2024-04-05 00:00:00+00:00,67885.4,2,224.5238975714181,2.0,-8.0,218.5238975714181,time_long_no_reclaim
28,2024-04-06 16:00:00+00:00,LONG,67688.8275,2024-04-12 16:00:00+00:00,66867.5,36,-121.33870984838646,29.315099999999994,-8.0,-100.02360984838646,time_long_no_reclaim
29,2024-04-10 20:00:00+00:00,LONG,68722.24394999999,2024-04-11 08:00:00+00:00,70043.3,3,192.23121569795777,3.4132,-8.0,187.64441569795775,time_long_no_reclaim
30,2024-04-13 04:00:00+00:00,LONG,67169.96819999999,2024-04-13 16:00:00+00:00,64779.1,3,-355.9430299090105,2.0,-8.0,-361.9430299090105,time_long_no_reclaim
31,2024-04-15 04:00:00+00:00,LONG,65648.70795,2024-04-15 08:00:00+00:00,65848.6,1,30.44874091844285,0.1759,-8.0,22.62464091844285,fresh_low_cont
32,2024-04-18 12:00:00+00:00,LONG,61185.27735,2024-04-18 16:00:00+00:00,63438.0,1,368.1805080515832,-0.33340000000000003,-8.0,359.84710805158323,fresh_low_cont
33,2024-04-20 12:00:00+00:00,LONG,63969.86895,2024-04-21 16:00:00+00:00,64506.9,7,83.95062532014164,1.3568,-8.0,77.30742532014165,time_long_no_reclaim
34,2024-04-22 20:00:00+00:00,LONG,65999.7834,2024-04-23 08:00:00+00:00,66023.5,3,3.5934360354272776,0.40040000000000003,-8.0,-4.006163964572723,time_long_no_reclaim
35,2024-04-28 16:00:00+00:00,LONG,63490.829549999995,2024-04-29 00:00:00+00:00,62259.9,2,-193.87517200899373,0.5254,-8.0,-201.34977200899374,time_long_no_reclaim
36,2024-05-03 00:00:00+00:00,LONG,59354.0622,2024-05-03 04:00:00+00:00,59158.1,1,-33.01580258141201,-0.15489999999999998,-8.0,-41.17070258141201,fresh_low_cont
37,2024-05-10 08:00:00+00:00,LONG,62911.439999999995,2024-05-10 16:00:00+00:00,60682.4,2,-354.3139371789927,1.3586999999999998,-8.0,-360.9552371789927,time_long_no_reclaim
38,2024-05-15 12:00:00+00:00,LONG,62188.4787,2024-06-18 12:00:00+00:00,64676.8,204,400.12577120655646,94.24619999999999,-8.0,486.37197120655645,fresh_low_cont
39,2024-05-18 20:00:00+00:00,LONG,66814.7907,2024-05-19 12:00:00+00:00,66863.0,4,7.215363468915381,0.8549,-8.0,0.07026346891538182,time_long_no_reclaim
