bar_time,spot_close,spot_vol,prep_close,perp_vol,funding_rate
2024-01-01 00:00:00+00:00,42330.49,3948.08335,42369.8,30275.835,0.00037409
2024-01-01 04:00:00+00:00,42492.46,2706.9988,42527.0,18884.162,0.00037409
2024-01-01 08:00:00+00:00,42690.2,2948.80274,42727.6,21225.402,0.00027213
2024-01-01 12:00:00+00:00,42783.05,2936.44406,42818.0,23160.827,0.00027213
2024-01-01 16:00:00+00:00,43517.99,5686.97164,43556.2,46470.443,0.00033601
2024-01-01 20:00:00+00:00,44179.55,8946.99844,44230.2,66407.475,0.00033601
2024-01-02 00:00:00+00:00,45402.38,17093.28659,45435.0,130549.341,0.00065846
2024-01-02 04:00:00+00:00,45455.53,8388.42302,45495.5,46617.839,0.00065846
2024-01-02 08:00:00+00:00,45433.99,10027.39458,45486.8,73125.619,0.00035179
2024-01-02 12:00:00+00:00,45184.82,13236.12915,45215.0,98947.373,0.00035179
2024-01-02 16:00:00+00:00,45039.49,9745.60445,45073.2,59665.882,0.0005373
2024-01-02 20:00:00+00:00,44946.91,6655.56882,44979.8,50892.469,0.0005373
2024-01-03 00:00:00+00:00,45262.69,4750.68596,45297.8,27249.852,0.00021159
2024-01-03 04:00:00+00:00,45011.77,4691.11517,45030.4,27047.436,0.00021159
2024-01-03 08:00:00+00:00,43702.88,13237.52778,43728.9,118206.26,0.00017123
2024-01-03 12:00:00+00:00,43000.01,35484.1521,43014.0,269274.008,0.00017123
2024-01-03 16:00:00+00:00,42596.67,16895.34192,42600.4,121646.733,0.0001
2024-01-03 20:00:00+00:00,42845.23,6135.7288,42849.5,32430.936,0.0001
2024-01-04 00:00:00+00:00,43102.8,5488.13855,43119.6,32954.43,0.0001
2024-01-04 04:00:00+00:00,42763.08,5443.39629,42775.0,34097.989,0.0001
2024-01-04 08:00:00+00:00,43176.32,6746.40949,43188.2,41353.248,0.0001
2024-01-04 12:00:00+00:00,44051.1,11599.01023,44050.4,89531.705,0.0001
2024-01-04 16:00:00+00:00,43956.48,9399.52176,43950.0,67286.547,0.0001
2024-01-04 20:00:00+00:00,44151.1,9361.58702,44143.8,68699.179,0.0001
2024-01-05 00:00:00+00:00,43465.21,11721.50264,43469.1,92493.981,0.0001
2024-01-05 04:00:00+00:00,43777.47,4949.61031,43769.6,36820.465,0.0001
2024-01-05 08:00:00+00:00,43771.34,7055.63723,43769.9,53933.111,0.0001
2024-01-05 12:00:00+00:00,43500.01,10044.2804,43495.2,82365.927,0.0001
2024-01-05 16:00:00+00:00,43600.0,7460.07613,43599.0,50576.81,0.0001
2024-01-05 20:00:00+00:00,44145.11,6844.14656,44145.4,58777.497,0.0001
2024-01-06 00:00:00+00:00,43931.1,3123.46193,43925.8,22344.039,0.0001
2024-01-06 04:00:00+00:00,43653.2,4242.79756,43645.3,32223.565,0.0001
2024-01-06 08:00:00+00:00,43671.96,2449.54997,43669.2,18571.596,0.0001
2024-01-06 12:00:00+00:00,43867.17,2610.13838,43863.6,21680.915,0.0001
2024-01-06 16:00:00+00:00,43906.36,2971.24432,43903.6,23415.539,0.0001
2024-01-06 20:00:00+00:00,43968.32,2437.86928,43956.7,20307.143,0.0001
2024-01-07 00:00:00+00:00,43940.41,3397.43777,43937.2,25504.202,0.0001
2024-01-07 04:00:00+00:00,44080.0,2347.11787,44071.5,16798.655,0.0001
2024-01-07 08:00:00+00:00,44061.1,3023.73501,44054.0,21062.951,0.0001
2024-01-07 12:00:00+00:00,44047.57,5972.98911,44035.0,49020.753,0.0001
2024-01-07 16:00:00+00:00,44244.77,3590.89146,44238.8,32162.368,0.0001
