calc_time,last_funding_rate
2025-06-01 00:00:00.001,-5.82e-06
2025-06-01 08:00:00.002,2.335e-05
2025-06-01 16:00:00.000,4.117e-05
2025-06-02 00:00:00.001,-6.42e-06
2025-06-02 08:00:00.000,5.593e-05
2025-06-02 16:00:00.000,4.467e-05
2025-06-03 00:00:00.000,5.005e-05
2025-06-03 08:00:00.000,6.066e-05
2025-06-03 16:00:00.001,4.456e-05
2025-06-04 00:00:00.000,-1.1e-07
2025-06-04 08:00:00.000,2.611e-05
2025-06-04 16:00:00.000,9.62e-06
2025-06-05 00:00:00.016,7.4e-07
2025-06-05 08:00:00.000,2.871e-05
2025-06-05 16:00:00.000,5.156e-05
2025-06-06 00:00:00.002,-3.491e-05
2025-06-06 08:00:00.000,-3.03e-05
2025-06-06 16:00:00.006,-2.995e-05
2025-06-07 00:00:00.000,-2.89e-05
2025-06-07 08:00:00.000,-3.158e-05
2025-06-07 16:00:00.002,2.94e-06
2025-06-08 00:00:00.000,4.808e-05
2025-06-08 08:00:00.000,5.613e-05
2025-06-08 16:00:00.000,-3.602e-05
2025-06-09 00:00:00.000,-2.164e-05
2025-06-09 08:00:00.001,4.024e-05
2025-06-09 16:00:00.001,3.057e-05
2025-06-10 00:00:00.000,6.374e-05
2025-06-10 08:00:00.001,0.0001
2025-06-10 16:00:00.003,8.165e-05
2025-06-11 00:00:00.000,8.779e-05
2025-06-11 08:00:00.000,8.39e-05
2025-06-11 16:00:00.010,5.039e-05
2025-06-12 00:00:00.002,1.856e-05
2025-06-12 08:00:00.003,7.247e-05
2025-06-12 16:00:00.001,1.198e-05
2025-06-13 00:00:00.000,-1.801e-05
2025-06-13 08:00:00.001,-2.7e-06
2025-06-13 16:00:00.004,3.857e-05
2025-06-14 00:00:00.000,1.958e-05
2025-06-14 08:00:00.000,3.858e-05
2025-06-14 16:00:00.000,1.135e-05
2025-06-15 00:00:00.005,-3.641e-05
2025-06-15 08:00:00.009,1.439e-05
2025-06-15 16:00:00.000,7.369e-05
2025-06-16 00:00:00.000,9.36e-06
2025-06-16 08:00:00.000,5.07e-05
2025-06-16 16:00:00.003,2.793e-05
2025-06-17 00:00:00.000,1.847e-05
2025-06-17 08:00:00.006,5.776e-05
2025-06-17 16:00:00.001,2.211e-05
2025-06-18 00:00:00.001,-1.752e-05
2025-06-18 08:00:00.001,3.695e-05
2025-06-18 16:00:00.001,6.692e-05
2025-06-19 00:00:00.005,8.45e-06
2025-06-19 08:00:00.003,6.16e-06
2025-06-19 16:00:00.000,2.396e-05
2025-06-20 00:00:00.000,3.565e-05
2025-06-20 08:00:00.002,7.862e-05
2025-06-20 16:00:00.001,2.4e-05
2025-06-21 00:00:00.002,3.977e-05
