open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,date
2025-05-01,94125.2,97388.0,94086.7,96423.3,184526.755,2025-05-01 23:59:59.999,17724494702.1216,2825368,96525.42,9270272677.558,2025-05-01
2025-05-02,96423.2,97865.4,96283.1,96831.2,139197.526,2025-05-02 23:59:59.999,13503167893.5523,2240247,68734.402,6668888338.8506,2025-05-02
2025-05-03,96831.2,96868.4,95700.0,95803.3,71420.629,2025-05-03 23:59:59.999,6871382895.5311,1207124,34360.578,3306264200.8317,2025-05-03
2025-05-04,95803.3,96266.6,94116.4,94230.2,94260.877,2025-05-04 23:59:59.999,8988011491.011,1550180,46059.52,4393531982.4587,2025-05-04
2025-05-05,94230.2,95165.1,93445.1,94696.7,154902.375,2025-05-05 23:59:59.999,14600852881.6568,2364149,78619.623,7411253704.9874,2025-05-05
2025-05-06,94696.7,96879.5,93327.0,96798.9,173683.066,2025-05-06 23:59:59.999,16444015298.9578,2556838,87234.117,8263124302.7006,2025-05-06
2025-05-07,96798.9,97700.0,95718.5,96988.4,185267.142,2025-05-07 23:59:59.999,17927424779.6889,2739288,92439.664,8946083419.8699,2025-05-07
2025-05-08,96988.4,104305.3,96831.5,103228.1,317422.469,2025-05-08 23:59:59.999,31823810370.5613,4445990,167054.489,16750638859.9604,2025-05-08
2025-05-09,103228.0,104373.0,102240.0,102941.9,172883.922,2025-05-09 23:59:59.999,17811570329.7221,3180781,84963.515,8754550700.1199,2025-05-09
2025-05-10,102941.9,105000.1,102784.0,104788.8,104384.537,2025-05-10 23:59:59.999,10820371034.8627,1979353,53276.115,5524151294.8332,2025-05-10
2025-05-11,104788.8,104950.0,103283.3,104072.7,139136.421,2025-05-11 23:59:59.999,14486322662.4281,2552705,67115.638,6988278773.1364,2025-05-11
2025-05-12,104072.7,105863.1,100678.0,102739.3,256542.699,2025-05-12 23:59:59.999,26551603069.1406,4171603,125366.635,12980428383.5514,2025-05-12
2025-05-13,102739.3,104949.2,101400.0,104082.0,162368.328,2025-05-13 23:59:59.999,16783134050.1225,3009395,80743.479,8346771098.0106,2025-05-13
2025-05-14,104082.0,104319.0,102536.0,103458.1,126264.097,2025-05-14 23:59:59.999,13068576865.3795,2289025,61671.893,6383482493.223,2025-05-14
2025-05-15,103458.1,104162.8,101270.8,103714.5,176344.106,2025-05-15 23:59:59.999,18109801387.1545,3256600,87513.73,8988229367.1175,2025-05-15
2025-05-16,103714.2,104524.2,103062.3,103412.2,115513.049,2025-05-16 23:59:59.999,11990203384.412,2303834,57430.06,5961446585.3613,2025-05-16
2025-05-17,103412.2,103658.0,102541.6,103079.6,90372.669,2025-05-17 23:59:59.999,9316018419.6171,1899774,44461.16,4583342965.4596,2025-05-17
2025-05-18,103079.5,106629.8,103052.2,106407.6,173224.284,2025-05-18 23:59:59.999,18124062039.3125,3286266,89890.052,9409858684.5056,2025-05-18
2025-05-19,106407.5,107114.3,102038.8,105531.6,257825.604,2025-05-19 23:59:59.999,26840364600.388,4455918,126416.817,13162993464.0348,2025-05-19
2025-05-20,105531.5,107292.5,104115.2,106800.1,226187.246,2025-05-20 23:59:59.999,23924084086.0768,3940207,116062.335,12276681726.7015,2025-05-20
2025-05-21,106800.0,110830.0,106037.9,109609.5,413589.854,2025-05-21 23:59:59.999,44576303267.8202,6189752,209506.079,22586385067.0068,2025-05-21
2025-05-22,109609.6,111959.5,109153.4,111662.7,246067.033,2025-05-22 23:59:59.999,27295716075.3018,4612376,124614.99,13824511909.0629,2025-05-22
2025-05-23,111662.6,111770.4,106721.9,107271.5,279480.347,2025-05-23 23:59:59.999,30543709259.4438,4943362,136446.687,14911670323.1349,2025-05-23
2025-05-24,107271.6,109440.2,106836.0,107698.9,165158.758,2025-05-24 23:59:59.999,17895241893.0697,2838855,79136.43,8574692907.3595,2025-05-24
2025-05-25,107699.0,109285.1,106497.0,108955.9,159465.803,2025-05-25 23:59:59.999,17159184232.0091,2938731,76863.251,8270758952.8013,2025-05-25
2025-05-26,108956.0,110400.0,108616.6,109386.8,146992.22,2025-05-26 23:59:59.999,16103265896.3352,2776585,73695.689,8074191754.9952,2025-05-26
2025-05-27,109386.8,110700.0,107438.0,108889.3,223599.905,2025-05-27 23:59:59.999,24452829099.8677,4065296,109504.224,11977737990.2288,2025-05-27
2025-05-28,108889.2,109252.6,106723.9,107723.1,158417.759,2025-05-28 23:59:59.999,17119395349.8769,3009662,77490.091,8375382654.4362,2025-05-28
2025-05-29,107723.1,108860.0,105054.2,105539.9,213101.255,2025-05-29 23:59:59.999,22850297579.7762,3867631,103190.568,11066419508.3205,2025-05-29
2025-05-30,105539.9,106266.0,103555.0,103950.0,219701.302,2025-05-30 23:59:59.999,23083176001.5792,4162110,106922.492,11234606621.3492,2025-05-30
2025-05-31,103949.9,104859.3,103032.1,104544.7,103607.84,2025-05-31 23:59:59.999,10771231013.7278,2173534,50579.791,5258359962.0428,2025-05-31
