bar_time,perp_open,perp_high,perp_low,perp_close,perp_volume,funding_rate
2024-01-01 03:00:00+00:00,42314.0,42832.0,42270.0,42369.8,30275.835,0.00037409
2024-01-01 07:00:00+00:00,42369.8,42536.0,42207.9,42527.0,18884.162,0.00037409
2024-01-01 11:00:00+00:00,42527.1,42800.0,42489.4,42727.6,21225.402,0.00027213
2024-01-01 15:00:00+00:00,42727.7,42887.5,42614.5,42818.0,23160.827,0.00027213
2024-01-01 19:00:00+00:00,42818.0,43593.2,42693.1,43556.2,46470.443,0.00033601
2024-01-01 23:00:00+00:00,43556.2,44266.0,43426.0,44230.2,66407.475,0.00033601
2024-01-02 03:00:00+00:00,44230.3,45565.0,44200.9,45435.0,130549.341,0.00065846
2024-01-02 07:00:00+00:00,45434.9,45832.8,45153.0,45495.5,46617.839,0.00065846
2024-01-02 11:00:00+00:00,45495.6,45950.0,45258.0,45486.8,73125.619,0.00035179
2024-01-02 15:00:00+00:00,45486.8,45850.0,44868.1,45215.0,98947.373,0.00035179
2024-01-02 19:00:00+00:00,45215.0,45449.2,44783.3,45073.2,59665.882,0.0005373
2024-01-02 23:00:00+00:00,45073.3,45338.9,44598.0,44979.8,50892.469,0.0005373
2024-01-03 03:00:00+00:00,44979.7,45463.5,44895.8,45297.8,27249.852,0.00021159
2024-01-03 07:00:00+00:00,45297.8,45423.0,44960.0,45030.4,27047.436,0.00021159
2024-01-03 11:00:00+00:00,45030.5,45582.3,43500.0,43728.9,118206.26,0.00017123
2024-01-03 15:00:00+00:00,43728.9,43738.8,40333.0,43014.0,269274.008,0.00017123
2024-01-03 19:00:00+00:00,43014.0,43595.9,41920.0,42600.4,121646.733,0.0001
2024-01-03 23:00:00+00:00,42600.4,42974.5,42517.6,42849.5,32430.936,0.0001
2024-01-04 03:00:00+00:00,42849.5,43236.0,42625.0,43119.6,32954.43,0.0001
2024-01-04 07:00:00+00:00,43119.6,43290.0,42765.0,42775.0,34097.989,0.0001
2024-01-04 11:00:00+00:00,42775.1,43255.0,42645.1,43188.2,41353.248,0.0001
2024-01-04 15:00:00+00:00,43188.2,44343.1,43107.4,44050.4,89531.705,0.0001
2024-01-04 19:00:00+00:00,44050.4,44437.5,43773.4,43950.0,67286.547,0.0001
2024-01-04 23:00:00+00:00,43950.0,44840.8,43887.2,44143.8,68699.179,0.0001
2024-01-05 03:00:00+00:00,44143.8,44284.0,42300.0,43469.1,92493.981,0.0001
2024-01-05 11:00:00+00:00,43769.6,44332.4,43459.0,43769.9,53933.111,0.0001
2024-01-05 15:00:00+00:00,43769.9,44119.1,43000.0,43495.2,82365.927,0.0001
2024-01-05 19:00:00+00:00,43495.1,43825.2,43090.0,43599.0,50576.81,0.0001
2024-01-05 23:00:00+00:00,43599.0,44500.0,43559.0,44145.4,58777.497,0.0001
2024-01-06 03:00:00+00:00,44145.3,44214.6,43809.5,43925.8,22344.039,0.0001
2024-01-06 07:00:00+00:00,43925.8,43972.0,43391.3,43645.3,32223.565,0.0001
2024-01-06 11:00:00+00:00,43645.4,43777.5,43550.0,43669.2,18571.596,0.0001
2024-01-06 15:00:00+00:00,43669.2,43925.0,43527.2,43863.6,21680.915,0.0001
2024-01-06 19:00:00+00:00,43863.6,44149.9,43817.4,43903.6,23415.539,0.0001
2024-01-06 23:00:00+00:00,43903.6,43980.0,43645.0,43956.7,20307.143,0.0001
2024-01-07 03:00:00+00:00,43956.6,44267.9,43824.2,43937.2,25504.202,0.0001
2024-01-07 07:00:00+00:00,43937.1,44099.6,43830.0,44071.5,16798.655,0.0001
2024-01-07 11:00:00+00:00,44071.6,44161.5,43862.8,44054.0,21062.951,0.0001
2024-01-08 03:00:00+00:00,43916.9,43975.0,43158.1,43501.9,49205.414,0.0001
2024-01-08 07:00:00+00:00,43502.0,44431.1,43417.8,43970.0,52687.145,0.0001
2024-01-08 11:00:00+00:00,43969.9,44748.5,43629.7,44637.2,48551.307,0.0001
2024-01-08 15:00:00+00:00,44637.2,45440.0,44350.0,44969.6,124466.243,0.0001
2024-01-08 19:00:00+00:00,44969.7,47312.0,44783.8,47006.7,168436.314,0.0001
2024-01-08 23:00:00+00:00,47007.1,47240.3,46666.1,46972.7,51741.56,0.0001
2024-01-09 03:00:00+00:00,46972.6,47173.5,46253.7,46932.8,62275.549,0.0001
2024-01-09 11:00:00+00:00,46841.0,46891.3,46372.0,46624.4,37564.557,0.0001
2024-01-09 15:00:00+00:00,46624.4,47100.0,45400.0,46868.8,127284.89,0.0001
2024-01-09 19:00:00+00:00,46868.9,46977.0,46500.0,46873.5,42262.943,0.0001
2024-01-09 23:00:00+00:00,46873.5,48100.0,44417.2,46114.0,218408.8,0.0001
2024-01-10 03:00:00+00:00,46113.9,46252.5,45629.6,46133.6,36681.322,0.0001
2024-01-10 07:00:00+00:00,46133.5,46200.0,45728.9,45766.4,21755.225,0.0001
2024-01-10 11:00:00+00:00,45766.3,45876.7,44800.0,45530.2,54054.765,0.0001
2024-01-10 15:00:00+00:00,45530.1,45680.0,44291.5,45569.0,149727.617,0.0001
2024-01-10 19:00:00+00:00,45569.4,46768.0,45189.4,46498.9,130065.437,0.0001
2024-01-10 23:00:00+00:00,46498.8,47699.3,44720.0,46662.9,276373.108,0.0001
2024-01-11 03:00:00+00:00,46663.0,46758.0,46146.5,46502.4,40763.102,0.0001
2024-01-11 07:00:00+00:00,46502.3,46511.4,45610.1,46096.1,42163.348,0.0001
2024-01-11 11:00:00+00:00,46096.1,47171.0,46051.6,47068.5,50256.742,0.0001
2024-01-11 15:00:00+00:00,47068.5,49027.5,46488.1,46813.4,278574.629,0.0001
2024-01-11 19:00:00+00:00,46813.4,47065.8,45600.0,46698.4,136031.851,0.0001
2024-01-11 23:00:00+00:00,46698.4,46973.8,46080.6,46337.8,48908.707,0.0001
2024-01-12 03:00:00+00:00,46337.9,46536.2,45900.9,45997.0,37819.707,0.0001
2024-01-12 11:00:00+00:00,46002.6,46280.0,45527.5,45958.0,47922.902,0.0001
2024-01-12 15:00:00+00:00,45958.0,46120.0,44360.8,44495.1,122262.686,0.0001
2024-01-12 19:00:00+00:00,44495.1,44719.7,43221.1,43497.5,179066.407,0.0001
2024-01-12 23:00:00+00:00,43497.4,44000.0,41370.0,42788.9,153713.263,0.0001
2024-01-13 03:00:00+00:00,42789.0,42997.0,42445.7,42625.6,39049.139,0.0001
2024-01-13 07:00:00+00:00,42625.6,43265.1,42565.9,43102.1,33842.417,0.0001
2024-01-13 11:00:00+00:00,43102.1,43255.0,42513.0,42631.9,42897.598,0.0001
2024-01-13 15:00:00+00:00,42631.8,43273.4,42509.8,43159.7,44715.766,0.0001
2024-01-13 19:00:00+00:00,43159.9,43193.9,42711.5,42791.1,31207.956,0.0001
2024-01-14 03:00:00+00:00,42846.4,42896.9,42651.0,42691.2,17785.043,0.0001
2024-01-14 07:00:00+00:00,42691.1,43064.4,42553.0,43012.8,20194.264,0.0001
2024-01-14 11:00:00+00:00,43012.8,43096.1,42759.2,42836.8,18481.558,0.0001
2024-01-14 15:00:00+00:00,42836.7,43014.3,42710.3,42908.4,18436.804,0.0001
2024-01-14 19:00:00+00:00,42908.4,43019.1,42633.2,42665.8,23087.661,0.0001
2024-01-15 03:00:00+00:00,41734.9,42650.0,41720.0,42571.8,36398.917,0.0001
2024-01-15 07:00:00+00:00,42572.8,42829.8,42501.6,42713.1,25795.373,0.0001
2024-01-15 11:00:00+00:00,42713.1,42784.3,42535.8,42699.9,21197.177,0.0001
2024-01-15 15:00:00+00:00,42700.0,42969.0,42156.0,42278.7,57163.469,0.0001
2024-01-15 19:00:00+00:00,42278.7,43376.0,42249.1,42989.6,65313.134,0.0001
2024-01-15 23:00:00+00:00,42989.6,43114.7,42341.3,42515.0,34191.071,0.0001
2024-01-16 03:00:00+00:00,42515.0,42942.0,42466.1,42919.5,22087.986,0.0001
2024-01-16 07:00:00+00:00,42919.3,42945.0,42600.5,42788.1,20030.646,0.0001
2024-01-16 11:00:00+00:00,42788.5,43164.9,42718.8,42894.9,32133.083,0.0001
2024-01-16 15:00:00+00:00,42894.6,43333.0,42050.0,43251.7,121732.82,0.0001
2024-01-16 19:00:00+00:00,43251.0,43450.0,42825.5,43164.8,50349.539,0.0001
2024-01-17 03:00:00+00:00,43133.0,43198.0,42838.8,42842.1,20601.204,0.0001
2024-01-17 07:00:00+00:00,42842.0,42933.0,42616.0,42654.0,24548.96,0.0001
2024-01-17 11:00:00+00:00,42654.0,42855.8,42555.8,42681.0,25131.297,0.0001
2024-01-17 15:00:00+00:00,42681.0,42934.9,42355.5,42478.3,68850.505,0.0001
2024-01-17 19:00:00+00:00,42478.2,42757.6,42200.0,42617.5,40872.097,0.0001
2024-01-17 23:00:00+00:00,42617.6,42869.3,42444.0,42783.4,29392.018,0.0001
2024-01-18 03:00:00+00:00,42783.3,42797.0,42515.0,42594.0,15331.957,0.0001
2024-01-18 11:00:00+00:00,42918.3,42932.3,42382.5,42540.0,33804.674,0.0001
2024-01-18 15:00:00+00:00,42540.1,42821.4,42351.0,42618.9,41921.482,0.0001
2024-01-18 19:00:00+00:00,42619.0,42619.0,40805.2,41014.2,151310.93,0.0001
